"Admin Actions Log Archive","Administraatori tegevuste logi arhiiv"
"Back","Tagasi"
"Log Entry #%1","Logi kirje #%1"
"Log Entry Details","Log Entry Details"
"Source Data","Source Data"
"Value Before Change","Value Before Change"
"Value After Change","Value After Change"
"No changes","No changes"
"The item was deleted","The item was deleted"
"N/A","Pole Saadaval"
"All Users","Kõik kasutajad"
"Admin Actions Log","Admin Actions Log"
"Admin Actions Archive","Admin Actions Archive"
"Report","Report"
"label","silt"
"actions' 'label","actions' 'label"
"%1 & applied","%1 & applied"
"Tax Rates Import","Maksumäärade import"
"Attributes Updated","Atribuudid uuendatud"
"Currency Rates Saved","Valuutakursid salvestatud"
"Cache types: %1 ","Cache types: %1 "
"Tax Rates Export","Maksumäärade eksport"
"Unknown callback function: %1::%2","Unknown callback function: %1::%2"
"You need more permissions to access this.","You need more permissions to access this."
"Success","Success"
"Failure","Failure"
"Daily","Iga päev"
"Weekly","Iga nädal"
"Monthly","Iga kuu"
"This user is locked","This user is locked"
"Admin User Data","Admin User Data"
"Aggregated Information","Aggregated Information"
"Admin User ID","Admin User ID"
"Admin User Name","Admin User Name"
"IP-Address","IP aadress"
"X-Forwarded For","X-Forwarded For"
"Error Message","Error Message"
"Related Changes","Related Changes"
"Logging","Logging"
"Action Log","Tegevuste logi"
"Archive","Archive"
"Action Logs","Action Logs"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Logi arhiveerimise sagedus"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
"1","1"
"View","Kuva"
"Save","Salvesta"
"Delete","Kustuta"
"Mass Delete","Mass Delete"
"Export","Eksport"
"Import","Import"
"Edit","Muuda"
"Mass Update","Mass Update"
"Move","Move"
"New","Uus"
"Forgot Password","Unustasid salasõna"
"Global Search","Globaalne otsing"
"Apply","Rakenda"
"Reorder","Telli uuesti"
"Print","Trüki"
"Email","E-post"
"Run","Run"
"Rollback","Taastamine"
"Reindex Process","Reindex Process"
"Clean","Clean"
"Flush","Flush"
"Fetch","Fetch"
"Update Payment","Update Payment"
"Update State","Update State"
"Login","Sisene"
"Send","Saada"
"Create","Loo"
"Catalog Products","Catalog Products"
"Catalog Categories","Catalog Categories"
"URL Rewrites","URL Rewrites"
"Catalog Search","Kataloogiotsing"
"Catalog Ratings","Catalog Ratings"
"Catalog Reviews","Catalog Reviews"
"Catalog Attributes","Catalog Attributes"
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In","Administraatori sisse logimine"
"CMS Pages","Sisulehed"
"CMS Blocks","Sisuplokid"
"Customers","Kliendid"
"Customer Groups","Kliendigrupid"
"Reports","Reports"
"System Configuration","System Configuration"
"Catalog Price Rules","Kataloogi hinnareeglid"
"Cart Price Rules","Ostukorvi hinna reeglid"
"Admin My Account","Admin My Account"
"Newsletter Queue","Uudiskirja järjekord"
"Newsletter Templates","Uudiskirja mallid"
"Newsletter Subscribers","Uudiskirja tellijad"
"Sales Orders","Sales Orders"
"Sales Order Status","Sales Order Status"
"Sales Invoices","Sales Invoices"
"Sales Shipments","Sales Shipments"
"Sales Credit Memos","Sales Credit Memos"
"Checkout Terms and Conditions","Tellimuse vormistamise tingimused ja nõuded"
"Admin Permission Roles","Admin Permission Roles"
"Admin Permission Users","Admin Permission Users"
"Manage Websites","Manage Websites"
"Manage Stores","Halda poode"
"Manage Store Views","Halda poevaateid"
"Manage Design","Manage Design"
"Manage Currency Rates","Halda valuutakursse"
"Transactional Emails","Transactional Emails"
"Custom Variables","Kohandatud muutujad"
"System Backups","System Backups"
"Customer Tax Classes","Kliendi maksuklassid"
"Catalog Product Tax Classes","Kataloogitoodete maksuklassid"
"Tax Rules","Maksureeglid"
"Tax Rates","Maksumäärad"
"XML Sitemap","XML Sitemap"
"Widget","Widget"
"Cache Management","Vahemälu haldus"
"PayPal Settlement Reports","PayPal Settlement Reports"
"Archive File","Archive File"
"Date","Kuupäev"
"CSV","CSV"
"Excel XML","Exceli XML"
"Time","Aeg"
"Action Group","Action Group"
"Action","Toiming"
"IP Address","IP aadress"
"Username","Kasutajatunnus"
"Result","Result"
"Full Action Name","Full Action Name"
"Details","Üksikasjad"
"Full Details","Full Details"
"Index Management","Index Management"
"More permissions are needed to access this.","More permissions are needed to access this."
"Bulk Actions","Bulk Actions"
