"Save Currency Rates","Saglabāt Valūtas Kursus"
"Options","Opcijas"
"Reset","Notīrīt"
"Import","Importēt"
"Manage Currency Rates","Pārvaldīt valūtas kursus"
"Import Service","Import Service"
"Save Currency Symbols","Saglabāt valūtas simbolus"
"Currency Symbols","Currency Symbols"
"Use Standard","Izmantot standarta"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
"Click ""Save"" to apply the rates we found.","Click ""Save"" to apply the rates we found."
"Currency Rates","Currency Rates"
"Please correct the input data for ""%1 => %2"" rate.","Please correct the input data for ""%1 => %2"" rate."
"All valid rates have been saved.","All valid rates have been saved."
"System","Sistēma"
"You applied the custom currency symbols.","You applied the custom currency symbols."
"You must first configure currency options before being able to see currency rates.","You must first configure currency options before being able to see currency rates."
"Old rate:","Iepriekšējais kurss:"
"Currency","Valūta"
