"Save Currency Rates","환율 저장"
"Options","옵션"
"Reset","초기화"
"Import","가져오기"
"Manage Currency Rates","환율 관리"
"Import Service","가져오기 서비스"
"Save Currency Symbols","통화 기호 저장"
"Currency Symbols","통화 기호"
"Use Standard","Use Standard"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","""저장""을 누르면 검색한 환율을 적용합니다."
"Currency Rates","환율"
"Please correct the input data for ""%1 => %2"" rate.","Please correct the input data for ""%1 => %2"" rate."
"All valid rates have been saved.","유효한 모든 환율이 저장되었습니다."
"System","시스템"
"You applied the custom currency symbols.","You applied the custom currency symbols."
"You must first configure currency options before being able to see currency rates.","환율을 보기위해서는 먼저 통화 옵션을 설정해야만 합니다."
"Old rate:","구 환율:"
"Currency","통화"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
