"Save Currency Rates","Valutaárfolyamok mentése"
"Options","Opciók"
"Reset","Alaphelyzet"
"Import","Importálás"
"Manage Currency Rates","Árfolyamok kezelése"
"Import Service","Import szolgáltatás"
"Save Currency Symbols","Pénznemek szimbólumainak mentése"
"Currency Symbols","Pénznemek szimbólumai"
"Use Standard","Szabványos használata"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Kattintson a ""Mentés"" gombra a talált árfolyamok alkalmatásához."
"Currency Rates","Pénznem árfolyamok"
"Please correct the input data for ""%1 => %2"" rate.","Javítsa az ""%1 => %2"" árfolyam adatokat."
"All valid rates have been saved.","Minden érvényes árfolyam elmentve."
"System","Rendszer"
"You applied the custom currency symbols.","Egyéni pénznem szimbólumok lettek alkalmazva."
"You must first configure currency options before being able to see currency rates.","Be kell állítani a pénznem lehetőségeket mielőtt láthatóvá válnak a valuta árfolyamok."
"Old rate:","Régi árfolyam:"
"Currency","Pénznem"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
