"Save Currency Rates","Gravar Taxas de Câmbio"
"Options","Opções"
"Reset","Repor"
"Import","Importar"
"Manage Currency Rates","Gerir Taxas de Câmbio"
"Import Service","Serviço de Importação"
"Save Currency Symbols","Gravar Símbolos de Moeda"
"Currency Symbols","Símbolos de Moeda"
"Use Standard","Usar o valor Pré-definido"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Clique em ""Gravar"" para aplicar as taxas que encontrámos."
"Currency Rates","Taxas de Câmbio"
"Please correct the input data for ""%1 => %2"" rate.","Por favor corrija os dados introduzidos para a taxa ""%1 => %2""."
"All valid rates have been saved.","Todas as taxas válidas foram gravadas."
"System","Sistema"
"You applied the custom currency symbols.","Aplicou os símbolos de moeda personalizados."
"You must first configure currency options before being able to see currency rates.","Antes de ver as taxas de câmbio deverá configurar as opções da moeda."
"Old rate:","Taxa antiga:"
"Currency","Moeda"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
