"Save Currency Rates","Uložiť kurzy mien"
"Options","Možnosti"
"Reset","Resetovať"
"Import","Nahrať"
"Manage Currency Rates","Spravovať kurzy mien"
"Import Service","Služba importu"
"Save Currency Symbols","Uložiť symboly mien"
"Currency Symbols","Symboly peňažných mien"
"Use Standard","Použiť štandardné"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Kliknite na ""Uložiť"" pre uplatnenie sadzieb ktoré sme našli."
"Currency Rates","Kurzy mien"
"Please correct the input data for ""%1 => %2"" rate.","Prosím, opravte vstupné údaje pre kurz ""%1 => %2""."
"All valid rates have been saved.","Všetky platné sadzby boli uložené."
"System","Systém"
"You applied the custom currency symbols.","Použili ste vlstné sýmboli mien."
"You must first configure currency options before being able to see currency rates.","Je nutné najskor nastaviť možnosti mien predtým než bude bude možné zobraziť sadzby mien."
"Old rate:","Pôvodné sadzby:"
"Currency","Mena"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
