"Save Currency Rates","บันทึกอัตราแลกเปลี่ยนสกุลเงิน"
"Options","ตัวเลือก"
"Reset","รีเซ็ต"
"Import","นำเข้า"
"Manage Currency Rates","จัดการอัตราแลกเปลี่ยนสกุลเงิน"
"Import Service","บริการนำเข้า"
"Save Currency Symbols","บันทึก สัญญลักษณ์ สกุลเงิน"
"Currency Symbols","สัญลักษณ์สกุลเงิน"
"Use Standard","ใช้มาตรฐาน"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","คลิก ""บันทึก"" เพื่อใช้กับอัตราที่เราพบ"
"Currency Rates","อัตราแลกเปลี่ยนสกุลเงิน"
"Please correct the input data for ""%1 => %2"" rate.","กรุณาแก้ไขข้อมูลป้อนเข้า เรท ""%1 => %2"""
"All valid rates have been saved.","บันทึกเรท ทั้งหมดแล้ว"
"System","ระบบ"
"You applied the custom currency symbols.","คุณได้ใช้สัญลักษณ์สกุลเงินแบบกำหนดเองแล้ว"
"You must first configure currency options before being able to see currency rates.","คุณต้องตั้งค่าตัวเลือกสกุลเงินก่อน จึงจะสามารถดูอัตราแลกเปลี่ยนสกุลเงินได้"
"Old rate:","อัตราเก่า:"
"Currency","สกุลเงิน"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
