"Save Currency Rates","കറൻസി നിരക്കുകൾ സേവ് ചെയ്യുക"
"Options","ഓപ്ഷനുകൾ"
"Reset","പുനഃക്രമീകരിക്കുക"
"Import","ഇമ്പോർട്"
"Manage Currency Rates","കറൻസി നിരക്കുകൾ നിയന്ത്രിക്കുക"
"Import Service","Import Service"
"Save Currency Symbols","കറൻസി ചിഹ്നങ്ങൾ സേവ് ചെയ്യുക"
"Currency Symbols","കറൻസി ചിഹ്നങ്ങൾ"
"Use Standard","സ്റ്റാൻഡേർഡ് ഉപയോഗിക്കുക"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","ഞങ്ങൾ കണ്ടെത്തിയ നിരക്കുകൾ പ്രയോഗിക്കാൻ ""സേവ്"" ക്ലിക്കുചെയ്യുക."
"Currency Rates","കറൻസി നിരക്കുകൾ"
"Please correct the input data for ""%1 => %2"" rate.","""%1 => %2"" നിരക്കിനായി ഇൻപുട്ട് ഡാറ്റ ശരിയാക്കുക."
"All valid rates have been saved.","സാധുവായ എല്ലാ നിരക്കുകളും സേവ് ചെയ്തു."
"System","സിസ്റ്റം"
"You applied the custom currency symbols.","നിങ്ങൾ ഇഷ്‌ടാനുസൃത കറൻസി ചിഹ്നങ്ങൾ പ്രയോഗിച്ചു."
"You must first configure currency options before being able to see currency rates.","കറൻസി നിരക്കുകൾ കാണുന്നതിന് മുമ്പ് നിങ്ങൾ ആദ്യം കറൻസി ഓപ്ഷനുകൾ ക്രമീകരിക്കണം."
"Old rate:","പഴയ നിരക്ക്:"
"Currency","കറൻസി"
"Please correct the input data for %1 => %2 rate","""%1 => %2"" നിരക്കിനായി ഇൻപുട്ട് ഡാറ്റ ശരിയാക്കുക"
"The Import Service is incorrect. Verify the service and try again.","ഇമ്പോർട് സർവീസ് തെറ്റാണ്. സേവനം പരിശോധിച്ച് വീണ്ടും ശ്രമിക്കുക."
"The import model can't be initialized. Verify the model and try again.","ഇമ്പോർട് മോഡൽ സമാരംഭിക്കാൻ കഴിയില്ല. മോഡൽ പരിശോധിച്ച് വീണ്ടും ശ്രമിക്കുക."
