"Save Currency Rates","Zapisz kursy walut"
"Options","Opcje"
"Reset","Resetuj"
"Import","Importuj"
"Manage Currency Rates","Zarządzaj kursami walut"
"Import Service","Usługa importu"
"Save Currency Symbols","Zapisz symbole walut"
"Currency Symbols","Symbole walut"
"Use Standard","Użyj standardowych"
"Please specify a correct Import Service.","Określ prawidłową usługę importu."
"We can't initialize the import model.","Nie możemy zainicjować modelu importu."
"Click ""Save"" to apply the rates we found.","Kliknij przycisk ""Zapisz"" aby przypisać stawki, które znaleźliśmy."
"Currency Rates","Kursy walut"
"Please correct the input data for ""%1 => %2"" rate.","Proszę poprawić dane wejściowe dla kursu ""%1 => %2""."
"All valid rates have been saved.","Wszystkie poprawne stawki zostały zapisane."
"System","System"
"You applied the custom currency symbols.","Zastosowano niestandardowe symbole walut."
"You must first configure currency options before being able to see currency rates.","Należy najpierw skonfigurować opcje walutowe, zanim będziesz mógł zobaczyć kursy walut."
"Old rate:","Stara stawka:"
"Currency","Waluta"
"Please correct the input data for %1 => %2 rate","Popraw dane wejściowe dla %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","Usługa importu jest nieprawidłowa. Zweryfikuj usługę i spróbuj ponownie."
"The import model can't be initialized. Verify the model and try again.","Nie można zainicjować modelu importu. Zweryfikuj model i spróbuj ponownie."
