"Save Currency Rates","Gravar Taxas de Câmbio"
"Options","Opções"
"Reset","Reiniciar"
"Import","Importar"
"Manage Currency Rates","Gerenciar taxas de moeda"
"Import Service","Serviço de importação"
"Save Currency Symbols","Salvar símbolos de moeda"
"Currency Symbols","Símbolos de moeda"
"Use Standard","Usar Padrão"
"Please specify a correct Import Service.","Por favor, especifique um serviço de importação correto."
"We can't initialize the import model.","Nós não é possível inicializar o modelo de importação."
"Click ""Save"" to apply the rates we found.","Clique em ""Gravar"" para aplicar as taxas disponíveis."
"Currency Rates","Taxas de Câmbio"
"Please correct the input data for ""%1 => %2"" rate.","Por favor, corrija os dados do campo %1 => taxa de %2."
"All valid rates have been saved.","Todos os preços válidos foram salvos."
"System","Sistema"
"You applied the custom currency symbols.","Você aplicou os símbolos de moedas personalizadas."
"You must first configure currency options before being able to see currency rates.","Primeiro, você deve configurar as opções de moeda antes de ser capaz de ver taxas de câmbio."
"Old rate:","Taxa antiga:"
"Currency","Moeda"
"Please correct the input data for %1 => %2 rate","Por favor, corrija os dados do campo %1 => taxa de %2"
"The Import Service is incorrect. Verify the service and try again.","O Serviço de Importação está incorreto. Verifique o serviço e tente novamente."
"The import model can't be initialized. Verify the model and try again.","O modelo de importação não pode ser inicializado. Verifique o modelo e tente novamente."
