"Save Currency Rates","ಕರೆನ್ಸಿ ದರಗಳನ್ನು ಉಳಿಸಿ"
"Options","ಆಯ್ಕೆಗಳು"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Import","ಆಮದು"
"Manage Currency Rates","ಕರೆನ್ಸಿ ದರಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Import Service","ಆಮದು ಸೇವೆ"
"Save Currency Symbols","ಕರೆನ್ಸಿ ಸಂಕೇತಗಳನ್ನು ಉಳಿಸಿ"
"Currency Symbols","ಕರೆನ್ಸಿ ಸಂಕೇತಗಳು"
"Use Standard","Use Standard"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Click ""Save"" to apply the rates we found."
"Currency Rates","ಕರೆನ್ಸಿ ದರಗಳು"
"Please correct the input data for ""%1 => %2"" rate.","Please correct the input data for ""%1 => %2"" rate."
"All valid rates have been saved.","All valid rates have been saved."
"System","ವ್ಯವಸ್ಥೆ"
"You applied the custom currency symbols.","You applied the custom currency symbols."
"You must first configure currency options before being able to see currency rates.","You must first configure currency options before being able to see currency rates."
"Old rate:","ಹಳೆಯ ದರ:"
"Currency","ಕರೆನ್ಸಿ"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
