"Save Currency Rates","Sačuvaj Valute"
"Options","Opcije"
"Reset","Resetovati"
"Import","Uvesti"
"Manage Currency Rates","Upravljanje Stopama Valute"
"Import Service","Uvezi Servise"
"Save Currency Symbols","Sačuvaj Simbole Valute"
"Currency Symbols","Simboli Valute"
"Use Standard","Koristi Standard"
"Please specify a correct Import Service.","Molimo navedite a correct Uvezi Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Kliknite ""Save"" da biste primenili stope koje smo pronašli."
"Currency Rates","Stope Valuta"
"Please correct the input data for ""%1 => %2"" rate.","Molimo korigujte unete podatke iz ""%1 => %2"" stope."
"All valid rates have been saved.","Sve validne stope su sačuvane."
"System","Sistem"
"You applied the custom currency symbols.","Primenili ste prilagođene simbole valute."
"You must first configure currency options before being able to see currency rates.","Prvo morate konfigurisati opcije valuta, pre nego što možete videti stope valuta."
"Old rate:","Stara stopa:"
"Currency","Valuta"
"Please correct the input data for %1 => %2 rate","Molimo ispravite the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","Servis za Uvoz nije ispravan. Proveri servis i pokušaj ponovo."
"The import model can't be initialized. Verify the model and try again.","Model uvoza ne može biti inicijalizovan. Proverite model i pokušajte ponovo."
