"Save Currency Rates","Spara valutakurser"
"Options","Alternativ"
"Reset","Återställ"
"Import","Importera"
"Manage Currency Rates","Hantera valutakurser"
"Import Service","Import Service"
"Save Currency Symbols","Spara valutasymboler"
"Currency Symbols","Valutasymboler"
"Use Standard","Använd Standard"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Klicka på ""Spara"" för att tillämpa de priser som vi hittade."
"Currency Rates","Valutakurser"
"Please correct the input data for ""%1 => %2"" rate.","Vänligen korrigera indata för ""%1 => %2""."
"All valid rates have been saved.","Alla giltiga priser har sparats."
"System","System"
"You applied the custom currency symbols.","Du har applicerat dina egna valutasymboler."
"You must first configure currency options before being able to see currency rates.","Du måste först konfigurera valuta alternativ innan du kan se valutakurser."
"Old rate:","Gammalt pris:"
"Currency","Valuta"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
