"Save Currency Rates","Uložit měnové kurzy"
"Options","Možnosti"
"Reset","Obnovit"
"Import","Import"
"Manage Currency Rates","Správa kurzů měn"
"Import Service","Importovaná služba"
"Save Currency Symbols","Uložit symboly měny"
"Currency Symbols","Symboly měny"
"Use Standard","Použít standardní"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Kliknutím na tlačítko ""Uložit"" budou kurzy aplikovány."
"Currency Rates","Měnové kurzy"
"Please correct the input data for ""%1 => %2"" rate.","Opravte prosím vstupní údaje kurzu ""%1 => %2""."
"All valid rates have been saved.","Všechny platné kurzy byly uloženy"
"System","Systém"
"You applied the custom currency symbols.","Vlastní symboly měn byly použity."
"You must first configure currency options before being able to see currency rates.","Aby bylo možné zobrazit měnové kurzy, musíte nejprve nakonfigurovat nastavení měny."
"Old rate:","Předchozí kurz:"
"Currency","Měna"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
