"Save Currency Rates","Wisselkoersen opslaan"
"Options","Opties"
"Reset","Resetten"
"Import","Importeer"
"Manage Currency Rates","Beheer Wisselkoersen"
"Import Service","Service importeren"
"Save Currency Symbols","Sla valuta symbolen op"
"Currency Symbols","Valutasymbolen"
"Use Standard","Gebruik standaard"
"Please specify a correct Import Service.","Geef een juiste Import Service op."
"We can't initialize the import model.","We kunnen het importmodel niet initialiseren."
"Click ""Save"" to apply the rates we found.","Klik op ""Opslaan"" om de gevonden koersen toe te passen."
"Currency Rates","Wisselkoersen"
"Please correct the input data for ""%1 => %2"" rate.","Corrigeer de invoergegevens voor ""%1 => %2"" koers."
"All valid rates have been saved.","Alle beoordelingen zijn opgeslagen."
"System","Systeem"
"You applied the custom currency symbols.","Je hebt de aangepaste valutasymbolen toegepast."
"You must first configure currency options before being able to see currency rates.","Jemoet eerst valuta-opties instellen voordat je wisselkoersen kunt zien."
"Old rate:","Oude koers:"
"Currency","Valuta"
"Please correct the input data for %1 => %2 rate","Corrigeer de invoergegevens voor %1 => %2 koers"
"The Import Service is incorrect. Verify the service and try again.","De importservice is onjuist. Controleer de service en probeer het opnieuw."
"The import model can't be initialized. Verify the model and try again.","Het importmodel kan niet worden geïnitialiseerd. Controleer het model en probeer het opnieuw."
