"Save Currency Rates","Запиши валутните курсове"
"Options","Опции"
"Reset","Изчисти"
"Import","Импорт"
"Manage Currency Rates","Управление на валутни курсове"
"Import Service","Импортиране на услуга"
"Save Currency Symbols","Запиши символи за валута"
"Currency Symbols","Символи за валута"
"Use Standard","Използвай стандарт"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Щракнете ""Запиши"", за да приложат ставките, които намерихме."
"Currency Rates","Валутни курсове"
"Please correct the input data for ""%1 => %2"" rate.","Коригирайте входните данни за ""%1 => %2"" курс."
"All valid rates have been saved.","Всички валидни цени са записани."
"System","Системи"
"You applied the custom currency symbols.","Приложихте валутните курсове."
"You must first configure currency options before being able to see currency rates.","Първо трябва да конфигурирате валутните опции преди да можете да видите валутни курсове."
"Old rate:","Стар курс:"
"Currency","Валута"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The Import Service is incorrect. Verify the service and try again.","Услугата за Импортиране е некоректна. Проверете услугата и опитайте пак."
"The import model can't be initialized. Verify the model and try again.","Модела на импортиране не може да се инициализира. Проверете модела и опитайте отново."
