"Web API Security","אבטחת Web API"
"Allow Anonymous Guest Access","אפשר גישת משתמש אנונימי"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks."
