"Web API Security","Bảo mật API"
"Allow Anonymous Guest Access","Cho phép khách ẩn danh truy cập"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks."
