"Web API Security","Web API beveiliging"
"Allow Anonymous Guest Access","Anonieme gasttoegang toestaan"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","Deze functie geldt alleen voor CMS, Catalogus en Store API's. Raadpleeg uw ontwikkelaars voor details over mogelijke veiligheidsrisico's."
