"Web API Security","ウェブ API セキュリティ"
"Allow Anonymous Guest Access","匿名ゲストアクセスを許可する"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","この機能はCMS、カタログおよびストアAPI にのみ適用されます。潜在的なセキュリティ上のリスクの詳細については、開発者にご相談ください。"
