"Web API Security","Securitate API Web"
"Allow Anonymous Guest Access","Permite accesul anonim al oaspeților"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","Această caracteristică se aplică numai pentru CMS, Catalog și API magazine. Vă rugăm să consultați dezvoltatorii pentru detalii privind riscurile potențiale de securitate."
