"Web API Security","Sécurité Web API"
"Allow Anonymous Guest Access","Autoriser l’accès anonyme d'invités"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","Cette fonctionnalité s'applique uniquement aux API CMS, Catalogue et Store. Veuillez consulter vos développeurs pour plus de détails sur les risques potentiels de sécurité."
