"Web API Security","Web-API Sicherheit"
"Allow Anonymous Guest Access","Anonymen Gastzugang erlauben"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","Diese Funktion gilt nur für CMS, Katalog und Store APIs. Bitte konsultieren Sie Ihre Entwickler für Details zu potenziellen Sicherheitsrisiken."
