"Web API Security","Keamanan API Web"
"Allow Anonymous Guest Access","Izinkan Akses Tamu Anonim"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks."
