"Web API Security","Web API-sikkerhet"
"Allow Anonymous Guest Access","Tillate anonym gjestetilgang"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks."
