"Web API Security","웹 API 보안"
"Allow Anonymous Guest Access","익명 게스트 액세스 허용"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks."
