"Web API Security","Zabezpieczenia Web API"
"Allow Anonymous Guest Access","Zezwalaj na dostęp anonimowy Gości"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","Ta funkcja dotyczy tylko interfejsów API CMS, Catalog i Store. Szczegółowe informacje na temat potencjalnych zagrożeń bezpieczeństwa można uzyskać od deweloperów."
