"Web API Security","Segurança da API Web"
"Allow Anonymous Guest Access","Permitir Acesso Convidado Anónimo"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","Este recurso aplica-se apenas ao CMS, Catálogo e APIs da loja. Por favor, consulte os seus programadores para obter detalhes sobre potenciais riscos de segurança."
