"Web API Security","Sécurité Web API"
"Allow Anonymous Guest Access","Autoriser l’accès anonyme d'invités"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks."
