"Web API Security","Ασφάλεια Web API"
"Allow Anonymous Guest Access","Επιτρέψτε την Πρόσβαση σε Ανώνυμους Επισκέπτες"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","Αυτή η δυνατότητα εφαρμόζεται μόνο σε CMS, κατάλογο και API Καταστήματος. Παρακαλούμε να συμβουλευτείτε τους προγραμματιστές σας για λεπτομέρειες σε πιθανούς κινδύνους ασφαλείας."
