"Web API Security","Web API biztonság"
"Allow Anonymous Guest Access","Névtelen vendég hozzáférés engedélyezése"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks."
