"Static Blocks","Staattiset lohkot"
"Add New Block","Lisää uusi lohko"
"Back","Takaisin"
"Delete Block","Poista lohko"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Reset","Tyhjennä"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save Block","Tallenna lohko"
"ID","Tunnus"
"Title","Otsikko"
"Identifier","Tunniste"
"Status","Tila"
"Disabled","Ei käytössä"
"Enabled","Käytössä"
"Manage Pages","Hallitse sivuja"
"Add New Page","Lisää uusi sivu"
"Delete Page","Poista sivu"
"Save Page","Tallenna sivu"
"URL Key","URL-osoite"
"Layout","Asettelu"
"Store View","Kauppanäkymä"
"Created","Luotu"
"Modified","Muokattu"
"Action","Toiminto"
"Preview","Esikatselu"
"Media Storage","Media Storage"
"Create Folder...","Luo kansio..."
"Delete Folder","Poista kansio"
"Delete File","Poista tiedosto"
"Insert File","Lisää tiedosto"
"New Folder Name:","New Folder Name:"
"Are you sure you want to delete this folder?","Haluatko varmasti poistaa tämän kansion?"
"Are you sure you want to delete this file?","Haluatko varmasti poistaa tämän tiedoston?"
"Images (%1)","Images (%1)"
"Storage Root","Storage Root"
"Home","Etusivu"
"Go to Home Page","Siirry etusivulle"
"CMS","CMS"
"You deleted the block.","Lohko poistettiin."
"We can't find a block to delete.","Poistettavaa lohkoa ei löydy."
"This block no longer exists.","Tätä lohkoa ei ole enää olemassa."
"Edit Block","Muokkaa lohkoa"
"New Block","Uusi lohko"
"Blocks","Lohkot"
"Please correct the data sent.","Ole hyvä ja korjaa lähetetty tieto."
"A total of %1 record(s) have been deleted.","Yhteensä %1 tietue(tta) poistettu."
"You saved the block.","Tallensit lohkon."
"Something went wrong while saving the block.","Tapahtui virhe tallennettaessa lohkoa."
"The page has been deleted.","Sivu on poistettu."
"We can't find a page to delete.","Poistettavaa sivua ei löydy."
"This page no longer exists.","Tätä sivua ei enää ole olemassa."
"Edit Page","Muokkaa sivua"
"New Page","Uusi sivu"
"Pages","Sivut"
"Something went wrong while saving the page.","Tapahtui virhe sivua tallennettaessa."
"A total of %1 record(s) have been disabled.","Yhteensä %1 tietue(tta) on poistettu käytöstä."
"A total of %1 record(s) have been enabled.","Yhteensä %1 tietue(tta) on otettu käyttöön."
"Page Title","Sivun otsikko"
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the page.","Tallensit sivun."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"The directory %1 is not writable by server.","Hakemisto %1 ei ole kirjoitettavissa palvelimella."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Käytössä oletuksena"
"Disabled by Default","Oletusarvoisesti pois käytöstä"
"Disabled Completely","Kokonaan pois käytöstä"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","This identifier is reserved for ""CMS No Route Page"" in configuration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","This identifier is reserved for ""CMS No Cookies Page"" in configuration."
"Could not save the page: %1","Could not save the page: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Could not delete the page: %1"
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We can't upload the file right now.","Tiedostoa ei voida ladata juuri nyt."
"We can't delete root directory %1 right now.","Juurihakemistoa %1 ei voida poistaa juuri nyt."
"Privacy and Cookie Policy","Yksityisyys ja evästeet"
"Error message","Virhesanoma"
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Poikkeus"
"Could not create a directory.","Hakemistoa ei voitu luoda."
"Edit","Muokkaa"
"Delete","Poista"
"Delete %1","Poista %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"All Store Views","Kaikki kauppanäkymät"
"View","Katso"
"px.","px."
"No files found","No files found"
"Browse Files...","Selaa tiedostoja..."
"Collapse All","Collapse All"
"Expand All","Expand All"
"We could not detect a size.","Kokoa ei voitu tunnistaa."
"Media Gallery","Mediagalleria"
"Content Management","Sisällön hallinta"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Browser Capabilities Detection","Browser Capabilities Detection"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Show Notice if JavaScript is Disabled","Show Notice if JavaScript is Disabled"
"Show Notice if Local Storage is Disabled","Show Notice if Local Storage is Disabled"
"WYSIWYG Options","WYSIWYG Options"
"Enable WYSIWYG Editor","Enable WYSIWYG Editor"
"CMS Page Link","CMS Page Link"
"Link to a CMS Page","Link to a CMS Page"
"CMS Page","CMS Page"
"Select Page...","Valitse sivu..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, the Page Title will be used","Jos tyhjä, käytetään sivun otsikkoa"
"Anchor Custom Title","Anchor Custom Title"
"Template","Malli"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Static Block","CMS Static Block"
"Contents of a Static Block","Staattisen lohkon sisältö"
"Block","Lohko"
"Select Block...","Valitse lohko..."
"CMS Static Block Default Template","CMS Static Block Default Template"
"General Information","Yleistä"
"Enable Block","Ota lohko käyttöön"
"Block Title","Lohkon otsikko"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Poista kohteet"
"Page Information","Sivun tiedot"
"Enable Page","Ota sivu käyttöön"
"Content","Sisältö"
"Content Heading","Content Heading"
"Search Engine Optimization","Hakukoneoptimointi"
"Meta Title","Meta otsikko"
"Meta Keywords","Meta avainsanat"
"Meta Description","Metakuvaus"
"Page in Websites","Sivu käytössä sivustoilla"
"Design","Ulkoasu"
"Layout Update XML","Layout Update XML"
"Custom Design Update","Custom Design Update"
"From","Alkaen"
"To","Asti"
"New Theme","Uusi teema"
