"Static Blocks","Statické bloky"
"Add New Block","Add New Block"
"Back","Späť"
"Delete Block","Delete Block"
"Are you sure you want to do this?","Naozaj chcete pokračovať?"
"Reset","Reset"
"Save and Continue Edit","Save and Continue Edit"
"Save Block","Save Block"
"ID","ID"
"Title","Titulok"
"Identifier","Identifier"
"Status","Stav"
"Disabled","Vypnuté"
"Enabled","Zapnuté"
"Manage Pages","Manage Pages"
"Add New Page","Add New Page"
"Delete Page","Delete Page"
"Save Page","Save Page"
"URL Key","Kľúč URL"
"Layout","Rozloženie"
"Store View","Zobrazenie obchodu"
"Created","Vytvorené"
"Modified","Modified"
"Action","Akcia"
"Preview","Náhľad"
"Media Storage","Media Storage"
"Create Folder...","Create Folder..."
"Delete Folder","Delete Folder"
"Delete File","Delete File"
"Insert File","Insert File"
"New Folder Name:","New Folder Name:"
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Images (%1)","Images (%1)"
"Storage Root","Storage Root"
"Home","Domov"
"Go to Home Page","Prejdite na domovskú stránku"
"CMS","CMS"
"You deleted the block.","You deleted the block."
"We can't find a block to delete.","Nemôžeme nájsť blok, ktorý chcete odstrániť."
"This block no longer exists.","This block no longer exists."
"Edit Block","Edit Block"
"New Block","New Block"
"Blocks","Blocks"
"Please correct the data sent.","Prosím opravte chyby."
"A total of %1 record(s) have been deleted.","Celkom %1 záznam(ov) bol(o) odstránený(ch)."
"You saved the block.","You saved the block."
"Something went wrong while saving the block.","Something went wrong while saving the block."
"The page has been deleted.","The page has been deleted."
"We can't find a page to delete.","Nemôžeme nájsť stánku, ktorú chcete odstrániť."
"This page no longer exists.","This page no longer exists."
"Edit Page","Edit Page"
"New Page","New Page"
"Pages","Pages"
"Something went wrong while saving the page.","Something went wrong while saving the page."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"Page Title","Page Title"
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the page.","You saved the page."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Disabled Completely","Disabled Completely"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","This identifier is reserved for ""CMS No Route Page"" in configuration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","This identifier is reserved for ""CMS No Cookies Page"" in configuration."
"Could not save the page: %1","Could not save the page: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Could not delete the page: %1"
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We can't upload the file right now.","Práve teraz nie je možné nahrať súbor."
"We can't delete root directory %1 right now.","Práve teraz nie je možné odstrániť koreňový adresár %1."
"Privacy and Cookie Policy","Privacy and Cookie Policy"
"Error message","Error message"
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create a directory.","Could not create a directory."
"Edit","Upraviť"
"Delete","Zmazať"
"Delete %1","Odstrániť %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"All Store Views","Všetky zobrazenia obchodu"
"View","Zobraziť"
"px.","px."
"No files found","No files found"
"Browse Files...","Browse Files..."
"Collapse All","Zbaliť všetko"
"Expand All","Rozbaliť všetko"
"We could not detect a size.","We could not detect a size."
"Media Gallery","Media Gallery"
"Content Management","Content Management"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Browser Capabilities Detection","Browser Capabilities Detection"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Show Notice if JavaScript is Disabled","Show Notice if JavaScript is Disabled"
"Show Notice if Local Storage is Disabled","Show Notice if Local Storage is Disabled"
"WYSIWYG Options","WYSIWYG Options"
"Enable WYSIWYG Editor","Enable WYSIWYG Editor"
"CMS Page Link","CMS Page Link"
"Link to a CMS Page","Link to a CMS Page"
"CMS Page","CMS Page"
"Select Page...","Select Page..."
"Anchor Custom Text","Vlastný text kotvy"
"If empty, the Page Title will be used","If empty, the Page Title will be used"
"Anchor Custom Title","Vlastný titulok kotvy"
"Template","Šablóna"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Static Block","CMS Static Block"
"Contents of a Static Block","Contents of a Static Block"
"Block","Block"
"Select Block...","Select Block..."
"CMS Static Block Default Template","CMS Static Block Default Template"
"General Information","Všeobecné informácie"
"Enable Block","Enable Block"
"Block Title","Block Title"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Odstrániť položky"
"Page Information","Page Information"
"Enable Page","Enable Page"
"Content","Obsah"
"Content Heading","Content Heading"
"Search Engine Optimization","Optimalizácia pre vyhľadávače"
"Meta Title","META titulok"
"Meta Keywords","META kľúčové slová"
"Meta Description","META popis"
"Page in Websites","Page in Websites"
"Design","Dizajn"
"Layout Update XML","Úprava XML rozloženia "
"Custom Design Update","Custom Design Update"
"From","Od"
"To","Do"
"New Theme","New Theme"
"-- Please Select --","-- Prosím vyberte --"
"New Layout","New Layout"
"Disable","Vypnúť"
"Enable","Zapnúť"
"Custom design from","Custom design from"
"Custom design to","Custom design to"
"Custom Theme","Custom Theme"
"Custom Layout","Custom Layout"
"Edit Block '%1'","Edit Block '%1'"
"Block Information","Block Information"
"Edit Page '%1'","Edit Page '%1'"
"Page Layout","Page Layout"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Description","Description"
"You saved this page.","You saved this page."
"Could not create directory.","Could not create directory."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Details"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Search Engine Optimisation"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Cancel","Cancel"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"You duplicated the block.","You duplicated the block."
"You duplicated the page.","You duplicated the page."
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Upload Images","Upload Images"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Default Page Layout"
"WYSIWYG Editor","WYSIWYG Editor"
