"Static Blocks","Statiske blokker"
"Add New Block","Legg til ny blokk"
"Back","Tilbake"
"Delete Block","Slett blokk"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Reset","Reset"
"Save and Continue Edit","Save and Continue Edit"
"Save Block","Save Block"
"ID","ID"
"Title","Tittel"
"Identifier","Identifikator"
"Status","Status"
"Disabled","Deaktivert"
"Enabled","Aktivert"
"Manage Pages","Administrere sider"
"Add New Page","Legg til ny side"
"Delete Page","Slett siden"
"Save Page","Lagre side"
"URL Key","URL-nøkkel"
"Layout","Oppsett"
"Store View","Butikkvisning"
"Created","Opprettet"
"Modified","Endret"
"Action","Handling"
"Preview","Forhåndsvis"
"Media Storage","Lagringsmedier"
"Create Folder...","Create Folder..."
"Delete Folder","Slett mappe"
"Delete File","Delete File"
"Insert File","Insert File"
"New Folder Name:","Nytt mappenavn:"
"Are you sure you want to delete this folder?","Er du sikker på at du vil slette denne mappen?"
"Are you sure you want to delete this file?","Er du sikker på at du vil slette denne filen?"
"Images (%1)","Bilder (%1)"
"Storage Root","Storage Root"
"Home","Hjem"
"Go to Home Page","Gå til hjemmesiden"
"CMS","CMS"
"You deleted the block.","Du slettet blokken."
"We can't find a block to delete.","We can't find a block to delete."
"This block no longer exists.","Denne blokken finnes ikke lenger."
"Edit Block","Redigere blokk"
"New Block","Ny blokk"
"Blocks","Blokker"
"Please correct the data sent.","Korriger dataene som sendes."
"A total of %1 record(s) have been deleted.","Totalt %1 post(er) ble slettet."
"You saved the block.","Du lagret blokken."
"Something went wrong while saving the block.","Noe gikk galt mens blokken skulle lagres."
"The page has been deleted.","Siden har blitt slettet."
"We can't find a page to delete.","We can't find a page to delete."
"This page no longer exists.","Denne siden finnes ikke lenger."
"Edit Page","Rediger side"
"New Page","Ny side"
"Pages","Sider"
"Something went wrong while saving the page.","Noe gikk galt under lagring av siden."
"A total of %1 record(s) have been disabled.","Totalt %1 post(er) er deaktivert."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"Page Title","Sidetittel"
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the page.","You saved the page."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Aktivert som standard"
"Disabled by Default","Deaktivert som standard"
"Disabled Completely","Helt Deaktivert"
