"Static Blocks","Blok statis"
"Add New Block","Tambahkan Blok"
"Back","Kembali"
"Delete Block","Hapus Blok"
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"ID","Nomor"
"Title","Judul"
"Identifier","Pengenal"
"Status","Keadaan"
"Disabled","Matikan"
"Enabled","Diaktifkan"
"Manage Pages","Mengelola Label"
"Add New Page","Tambahkan Halaman Baru"
"Delete Page","Hapus Halaman"
"URL Key","URL Kunci"
"Layout","Tata letak"
"Store View","Tampilan toko"
"Created","Buat"
"Modified","Modifikasi"
"Action","Tindakan"
"Preview","Pratinjau"
"Media Storage","Penyimpanan Media"
"Cancel","Cancel"
"Delete Folder","Hapus folder"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"New Folder Name:","Nama folder baru:"
"Are you sure you want to delete this folder?","Anda yakin ingin menghapus folder ini?"
"Are you sure you want to delete this file?","Yakin ingin menghapus berkas ini?"
"Images (%1)","Gambar (%1)"
"Storage Root","Penyimpanan root"
"The CMS block with identifier ""%identifier"" is not enabled.","The CMS block with identifier ""%identifier"" is not enabled."
"Home","Beranda"
"Go to Home Page","Pergi ke Halaman Beranda"
"CMS","CMS"
"You deleted the block.","Anda menghapus toko."
"We can't find a block to delete.","Blok tidak kami temukan untuk dihapus."
"This block no longer exists.","Spanduk ini tidak ada lagi."
"Edit Block","Ubah Blok"
"New Block","Blok baru"
"Blocks","Halaman"
"Please correct the data sent.","Silahkan perbaiki data yang dikirim."
"A total of %1 record(s) have been deleted.","Sejumlah dari %1 catatan(s) telah dihapus."
"You saved the block.","Anda telah menyimpan toko."
"Something went wrong while saving the block.","Terjadi suatu kesalahan ketika menyimpan file."
"You duplicated the block.","You duplicated the block."
"The page has been deleted.","Pesan telah dihapus."
"We can't find a page to delete.","Kami tidak menemukan halaman untuk dihapus."
"This page no longer exists.","Aturan ini tidak ada lagi."
"Edit Page","Edit Halaman"
"New Page","Baru Halaman"
"Pages","Halaman"
"Something went wrong while saving the page.","Terjadi suatu kesalahan ketika menyimpan file."
"A total of %1 record(s) have been disabled.","Sebanyak %1 record telah dihapus."
"A total of %1 record(s) have been enabled.","Sebanyak %1 record telah dihapus."
"Page Title","Judul Halaman"
"To apply changes you should fill in hidden required ""%1"" field","Untuk menerapkan perubahan anda harus mengisi dalam bidang tersembunyi yang diperlukan ""%1"""
"You saved the page.","Anda menyimpan halaman."
"You duplicated the page.","You duplicated the page."
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","Direktori %1 tidak berada di bawah jalur akar penyimpanan."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","Pastikan bahwa konten blok statis tidak mereferensikan blok itu sendiri."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","Diaktifkan secara Default"
"Disabled by Default","Dinonaktifkan Secara Default"
"Disabled Completely","Dinonaktifkan Secara Komplit"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Pengenal ini disimpan untuk ""CMS No Route Page"" dalam konfigurasi."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Pengenal ini disimpan untuk ""CMS Home Page"" dalam konfigurasi."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Pengenal ini disimpan untuk ""CMS No Cookies Page"" dalam konfigurasi."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Tidak bisa menyimpan halaman: %1"
"Could not delete the page: %1","Tidak bisa menghapus halaman: %1"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","Pengenal blok dengan properti yang sama sudah tersedia di toko tertentu."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
