"Static Blocks","Statički Blokovi"
"Add New Block","Dodaj Novi Blok"
"Back","Nazad"
"Delete Block","Izbriši Blok"
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Reset","Resetovati"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Save Block","Save Block"
"ID","ID"
"Title","Naslov"
"Identifier","Identifikator"
"Status","Status"
"Disabled","Onemogućeno"
"Enabled","Omogućeno"
"Manage Pages","Upravljaj Stranicama"
"Add New Page","Dodaj Novu Stranicu"
"Delete Page","Izbriši Stranicu"
"Save Page","Sačuvaj Stranicu"
"URL Key","URL Ključ"
"Layout","Raspored"
"Store View","Prikaz prodavnice"
"Created","Kreiran"
"Modified","Izmenjeno"
"Action","Akcija"
"Preview","Pregled"
"Media Storage","Skladište Media sadržaja"
"Create Folder...","Create Folder..."
"Delete Folder","Izbrišite fasciklu"
"Delete File","Izbriši datoteku"
"Insert File","Insert File"
"New Folder Name:","Novi Naziv Foldera:"
"Are you sure you want to delete this folder?","Da li ste sigurni da želite da izbrišete ovaj folder?"
"Are you sure you want to delete this file?","Da li ste sigurni da želite da obrišete ovu datoteku?"
"Images (%1)","Slike (%1)"
"Storage Root","Storage Root"
"Home","Početna"
"Go to Home Page","Idi na početnu stranicu"
"CMS","CMS"
"You deleted the block.","Obrisali ste blok."
"We can't find a block to delete.","Ne možemo pronaći blok za brisanje."
"This block no longer exists.","Ovaj blok više ne postoji."
"Edit Block","Izmeni Blok"
"New Block","Novi Blok"
"Blocks","Blokovi"
"Please correct the data sent.","Ispravite poslate podatke."
"A total of %1 record(s) have been deleted.","Ukupno %1 zapis(a) je uklonjeno."
"You saved the block.","Sačuvali ste blok."
"Something went wrong while saving the block.","Došlo je do greške prilikom čuvanja bloka."
"The page has been deleted.","Stranica je obrisana."
"We can't find a page to delete.","We can't find a page to delete."
"This page no longer exists.","Ova stranica više ne postoji."
"Edit Page","Izmeni stranicu"
"New Page","Nova Stranica"
"Pages","Stranice"
"Something went wrong while saving the page.","Došlo je do greške prilikom čuvanja stranice."
"A total of %1 record(s) have been disabled.","Ukupno %1 zapis(a) je onemogućen."
"A total of %1 record(s) have been enabled.","Ukupno %1 zapis(a) je omogućen."
"Page Title","Naslov strane"
"To apply changes you should fill in hidden required ""%1"" field","Da biste primenili promene morate popuniti skriveni zahtev ""%1"" polja"
"You saved the page.","Sačuvali ste stranicu."
"Directory %1 is not under storage root path.","Direktorijum %1 nije u magacinu root putanje."
"The directory %1 is not writable by server.","Direktorijum %1 nije upisiv od servera."
"Make sure that static block content does not reference the block itself.","Uverite se da sadržaj statičnog bloka ne navodi sam blok."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Omogućeno po difoltu"
"Disabled by Default","Onemogućeno po difoltu"
"Disabled Completely","U potpunosti Onemogućeno"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Ovaj identifikator je rezervisan za ""CMS No Route Page"" u konfiguracijama."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Ovaj identifikator je rezervisan za ""CMS Home Page"" u konfiguracijama."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Ovaj identifikator je rezervisan za ""CMS No Cookies Page"" u konfiguracijama."
"Could not save the page: %1","Nije moguće sačuvati stranicu: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Nije moguće izbrisati stranicu: %1"
"A block identifier with the same properties already exists in the selected store.","Identifikator bloka sa istim podešavanjima već postoji u odabranoj prodavnici."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Molimo preimenujte folder koristeći samo slova, brojeve, donje crte i crtice."
"We found a directory with the same name. Please try another folder name.","Našli smo direktorijum sa istim nazivom. Molimo pokušajte koristiti neko drugo ime."
"We cannot create a new directory.","Ne možemo kreirati novi direktorijum."
"We cannot delete directory %1.","Ne možemo izbrisati direktorijum %1."
"We can't upload the file right now.","Ne možemo otpremiti fajl trenutno."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Privacy and Cookie Policy","Polisa o Privatnosti i Kolačićima"
"Error message","Poruka greške"
"LocalizedException","Lokalizovani izuzetak"
"RuntimeException","RuntimeException"
"Exception","Izuzetak"
"Could not create a directory.","Nismo mogli kreirati direktorijum."
"Edit","Izmeni"
"Delete","Obrisati"
"Delete %1","Obriši %1"
"Are you sure you want to delete a %1 record?","Da li ste sigurni da želite da obrišete %1 zapis?"
"All Store Views","Svi pregledi prodavnica"
"View","Pregled"
"px.","px."
"No files found","Datoteke nisu pronađene"
"Browse Files...","Pregled datoteka..."
"Collapse All","Skupi sve"
"Expand All","Razvij sve"
"We could not detect a size.","Nismo mogli otkriti veličinu."
"Media Gallery","Media Galerija"
"Content Management","Upravljanje Sadržajima"
"CMS Home Page","CMS Početna Stranica"
"CMS No Route Page","CMS Nema Putanje Stranica"
"CMS No Cookies Page","CMS Nema Kolačića Stranica"
"Show Breadcrumbs for CMS Pages","Prikaži Breadcrumbs za CMS Stranice"
"Browser Capabilities Detection","Otkrivanje Mogućnosti Pretrage"
"Redirect to CMS-page if Cookies are Disabled","Preusmeri na CMS stranicu ako su Kolačići Onemogućeni"
"Show Notice if JavaScript is Disabled","Prikaži Obaveštenje ako je JavaScript Onemogućen"
"Show Notice if Local Storage is Disabled","Prikaži Obaveštenje ako je Lokalno Skladište Onemogućeno"
"WYSIWYG Options","WYSIWYG Opcije"
"Enable WYSIWYG Editor","Omogući WYSIWYG Editor"
"CMS Page Link","Link CMS Stranice"
"Link to a CMS Page","Link do CMS Stranice"
"CMS Page","CMS Stranica"
"Select Page...","Odaberi Stranicu..."
"Anchor Custom Text","Sidro Odabranog Teksta"
"If empty, the Page Title will be used","Ako je prazno, Naslov Stranice će biti korišćen"
"Anchor Custom Title","Sidro Odabranog Naziva"
"Template","Šablon"
"CMS Page Link Block Template","Šablon Blok Linkova na CMS Stranici"
"CMS Page Link Inline Template","Šablon Linkova u Redu na CMS Stranici"
"CMS Static Block","CMS Statički Blok"
"Contents of a Static Block","Sadržaji Statičnog Bloka"
"Block","Blokovi"
"Select Block...","Odaberi Blok..."
"CMS Static Block Default Template","CMS Podrazumevani Šablon Statičkog Bloka"
"General Information","Opšte informacije"
"Enable Block","Omogući Blok"
"Block Title","Naslov Bloka"
"Are you sure you want to delete selected items?","Da li ste sigurni da želite da obrišete odabrane stavke?"
"Delete items","Obriši proizvode"
"Page Information","Informacije o Stranici"
"Enable Page","Omogući Stranicu"
"Content","Sadržaj"
"Content Heading","Zaglavlje Sadržaja"
"Search Engine Optimization","Optimizacija programa za pretraživanje"
"Meta Title","Meta Naslov"
"Meta Keywords","Meta klјučne reči"
"Meta Description","Meta opis"
"Page in Websites","Stranice u Web Sajtu"
"Design","Dizajn"
"Layout Update XML","Raspored ažuriranja XML-a"
"Custom Design Update","Ažuriranje Odabranog dizajna"
"From","Od"
"To","Do"
"New Theme","Nova Tema"
"-- Please Select --","-- Molim odaberite --"
"New Layout","Novi Raspored"
"Disable","Onemogući"
"Enable","Omogući"
"Custom design from","Odabrani dizajn od"
"Custom design to","Odabrani dizajn do"
"Custom Theme","Prilagođena Tema"
"Custom Layout","Prilagođeni Raspored"
"Edit Block '%1'","Edit Block '%1'"
"Block Information","Blok informacija"
"Edit Page '%1'","Edit Page '%1'"
"Page Layout","Raspored stranice"
"Custom Design","Prilagođeni dizajn"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Description","Opis"
"You saved this page.","Sačuvali ste ovu stranicu."
