"Static Blocks","Staatilised plokid"
"Add New Block","Lisa uus plokk"
"Back","Tagasi"
"Delete Block","Kustuta plokk"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"ID","ID"
"Title","Pealkiri"
"Identifier","Tunnus"
"Status","Staatus"
"Disabled","Keelatud"
"Enabled","Lubatud"
"Manage Pages","Halda lehti"
"Add New Page","Lisa uus leht"
"Delete Page","Kustuta leht"
"URL Key","URL-i tunnus"
"Layout","Paigutus"
"Store View","Poevaade"
"Created","Loodud"
"Modified","Muudetud"
"Action","Toiming"
"Preview","Eelvaade"
"Media Storage","Meedia hoidla"
"Cancel","Cancel"
"Delete Folder","Kustuta kaust"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"New Folder Name:","Uue kausta nimi:"
"Are you sure you want to delete this folder?","Olete kindel et soovite kustutada seda kausta?"
"Are you sure you want to delete this file?","Olete kindel et soovite kustutada seda faili?"
"Images (%1)","Pildid (%1)"
"Storage Root","Failide juurkataloog"
"The CMS block with identifier ""%identifier"" is not enabled.","The CMS block with identifier ""%identifier"" is not enabled."
"Home","Avaleht"
"Go to Home Page","Avalehele"
"CMS","Sisuhaldus"
"You deleted the block.","Plokk kustutatud."
"We can't find a block to delete.","We can't find a block to delete."
"This block no longer exists.","Seda plokki ei eksisteeri enam."
"Edit Block","Muuda plokki"
"New Block","Uus plokk"
"Blocks","Plokid"
"Please correct the data sent.","Palun korrigeerige andmeid."
"A total of %1 record(s) have been deleted.","Kokku kustutatud %1 kirje(t)."
"You saved the block.","Blokk salvestatud."
"Something went wrong while saving the block.","Ploki salvestamisel läks midagi valesti."
"You duplicated the block.","You duplicated the block."
"The page has been deleted.","Leht kustutatud."
"We can't find a page to delete.","We can't find a page to delete."
"This page no longer exists.","Seda lehte ei eksisteeri enam."
"Edit Page","Muuda lehte"
"New Page","Uus leht"
"Pages","Lehed"
"Something went wrong while saving the page.","Lehe salvestamisel läks midagi valesti."
"A total of %1 record(s) have been disabled.","Kokku keelatud %1 kirje(t)."
"A total of %1 record(s) have been enabled.","Kokku lubatud %1 kirje(t)."
"Page Title","Lehe pealkiri"
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the page.","Leht salvestatud."
"You duplicated the page.","You duplicated the page."
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","Vaikimisi lubatud"
"Disabled by Default","Vaikimisi keelatud"
"Disabled Completely","Täielikult keelatud"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","This identifier is reserved for ""CMS No Route Page"" in configuration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","This identifier is reserved for ""CMS No Cookies Page"" in configuration."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Ei saa salvestada lehte: %1"
"Could not delete the page: %1","Ei saa kustutada lehte: %1"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","We can't upload the file right now."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
