"Delete Customer","Obriši Kupca"
"Back","Nazad"
"Delete Company","Obriši kompaniju"
"Reset","Resetovati"
"Save","Sačuvaj"
"Save & Close","Sačuvaj i zatvori"
"Companies","Kompanije"
"Add New Company","Dodaj novu kompaniju"
"(me)","(me)"
"Company Name:","Naziv kompanije:"
"Company Legal Name:","Pravni naziv kompanije:"
"Company Email:","Email kompanije:"
"VAT/TAX ID:","PIB:"
"Re-seller ID:","ID preprodavca:"
"Street Address:","Street Adresa:"
"City:","Grad:"
"Country:","Zemlja:"
"State/Province:","Država/Provincija:"
"ZIP/Postal Code:","Poštanski broj:"
"Phone Number:","Broj telefona:"
"Job Title:","Radno mesto:"
"Email Address:","E-mail adresa:"
"Prefix:","Prefiks:"
"First Name:","Ime:"
"Middle Name/Initial:","Srednje ime/Inicijal:"
"Last Name:","Prezime:"
"Suffix:","Sufiks:"
"Gender:","Pol:"
"Duplicated","Duplicated"
"Company Structure","Struktura kompanije"
"Page not found.","Stranica nije pronađena."
"Something went wrong.","Nešto krenulo naopako."
"New Company","Nova kompanija"
"Thank you! We're reviewing your request and will contact you soon","Thank you! We're reviewing your request and will contact you soon"
"An error occurred on the server. Your changes have not been saved.","Došlo je do greške on the server. Your changes have not been saved."
"Incorrect CAPTCHA","Neispravna CAPTCHA"
"Create New Company","Kreiraj novu kompaniju"
"A total of %1 record(s) were updated.","Ukupno %1 zapis(a) je ažurirano."
"Something went wrong. Please try again later.","Nešto nije u redu. Pokušajte ponovo later."
"Invalid value of ""%value"" provided for the email field.","Nevažeća vrednost ""%value"" navedena za polje email."
"Invalid value ""%value"" given for the website ID field.","Nevažeća vrednost ""%value"" navedena za polje ID veb sajta."
"You have deleted company %companyName.","You have deleted company %companyName."
"The company no longer exists.","Kompanija više ne postoji."
"The requested company is not found","Tražena kompanija nije pronađena"
"Please correct the data sent.","Ispravite poslate podatke."
"can not be saved","can not be saved"
"A total of %1 record(s) were deleted.","Ukupno %1 zapis(a) je obrisano."
"Could not save company","Nije moguće sačuvati kompaniju"
"You have saved company %companyName.","You have saved company %companyName."
"You have created company %companyName.","You have created company %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Korisnik sa ovom email adresom već postoji u sistemu. Ako nastavite, korisnik će biti povezan sa vašom kompanijom."
"A user with this email address is already a member of your company.","A user with this email address is already a member of your company."
