"Delete Customer","删除客户"
"Back","返回"
"Delete Company","删除公司"
"Reset","重置"
"Save","保存"
"Save & Close","保存并关闭该产品"
"Companies","公司"
"Add New Company","添加新公司"
"(me)","（我）"
"Company Name:","公司名称："
"Company Legal Name:","公司法定名称："
"Company Email:","公司电子邮件："
"VAT/TAX ID:","VAT/TAX ID:"
"Re-seller ID:","Re-seller ID:"
"Street Address:","街道地址:"
"City:","城市:"
"Country:","国家:"
"State/Province:","州/省:"
"ZIP/Postal Code:","邮编:"
"Phone Number:","电话号码： "
"Job Title:","职位："
"Email Address:","电子邮件地址︰"
"Prefix:","前缀："
"First Name:","名"
"Middle Name/Initial:","中间名/缩写："
"Last Name:","姓氏："
"Suffix:","后缀："
"Gender:","性别："
"Duplicated","Duplicated"
"Company Structure","Company Structure"
"Page not found.","找不到网页。"
"Something went wrong.","发生一些错误。"
"New Company","New Company"
"Thank you! We're reviewing your request and will contact you soon","Thank you! We're reviewing your request and will contact you soon"
"An error occurred on the server. Your changes have not been saved.","An error occurred on the server. Your changes have not been saved."
"Incorrect CAPTCHA","不正确的验证码"
"Create New Company","Create New Company"
"A total of %1 record(s) were updated.","更新记录 %1"
"Something went wrong. Please try again later.","Something went wrong. Please try again later."
"Invalid value of ""%value"" provided for the email field.","Invalid value of ""%value"" provided for the email field."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
"You have deleted company %companyName.","You have deleted company %companyName."
"The company no longer exists.","The company no longer exists."
"The requested company is not found","The requested company is not found"
"Please correct the data sent.","请更正发送的数据。"
"can not be saved","can not be saved"
"A total of %1 record(s) were deleted.","共有 %1 条记录被删除。"
"Could not save company","Could not save company"
"You have saved company %companyName.","You have saved company %companyName."
"You have created company %companyName.","You have created company %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","A user with this email address already exists in the system. If you proceed, the user will be linked to your company."
"A user with this email address is already a member of your company.","A user with this email address is already a member of your company."
"A user with this email address already exists in the system. Enter a different email address to create this user.","A user with this email address already exists in the system. Enter a different email address to create this user."
"You are not allowed to do this.","You are not allowed to do this."
"Cannot create the customer.","Cannot create the customer."
"The customer was successfully created.","The customer was successfully created."
"You cannot delete yourself.","You cannot delete yourself."
"Cannot delete this user.","Cannot delete this user."
"The customer was successfully deleted.","The customer was successfully deleted."
"The customer was successfully updated.","The customer was successfully updated."
"Company Profile","Company Profile"
"The changes you made on the company profile have been successfully saved.","The changes you made on the company profile have been successfully saved."
"You must fill in all required fields before you can continue.","You must fill in all required fields before you can continue."
"Bad Request","Bad Request"
"You have deleted role %companyRoleName.","You have deleted role %companyRoleName."
"Add New Role","添加新角色"
"Edit Role","编辑角色"
"Roles and Permissions","Roles and Permissions"
"The tree retrieved successfully.","The tree retrieved successfully."
"The item was successfully moved.","The item was successfully moved."
"The team was successfully deleted.","The team was successfully deleted."
"The team was successfully updated.","The team was successfully updated."
"The team was successfully created.","The team was successfully created."
"Company Users","Company Users"
"A customer with the same email already assigned to company.","A customer with the same email already assigned to company."
"Active","活动"
"Pending Approval","Pending Approval"
"Rejected","拒绝"
"Blocked","Blocked"
"The company admin cannot be moved to a different location in the company structure.","The company admin cannot be moved to a different location in the company structure."
"A user or a team cannot be moved under itself.","A user or a team cannot be moved under itself."
"A user or a team cannot be moved under its child user or team.","A user or a team cannot be moved under its child user or team."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company."
"Unable to move customer structure.","Unable to move customer structure."
"Cannot delete company with id %1","Cannot delete company with id %1"
"No company admin email is specified in request.","No company admin email is specified in request."
"No company admin website ID is specified in request.","No company admin website ID is specified in request."
"No such entity with id = %idValue","No such entity with id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","用户 %1 是公司管理员，不能设置为停用。您必须先设置另一个用户作为公司管理员。"
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","You cannot update the requested attribute. Row ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Invalid attribute value. Cannot change company for a company admin."
"Company admin","Company admin"
"Company user","Company user"
"Individual user","Individual user"
"Inactive","未激活"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny""."
"Invalid login or password.","无效的登录名或密码。"
"This account is locked.","此帐户被锁定。"
"Your account is not yet approved. If you have questions, please contact the seller.","Your account is not yet approved. If you have questions, please contact the seller."
"There was an error saving custom attributes.","There was an error saving custom attributes."
"Invalid value of ""%value"" provided for the %fieldName field.","为% fieldName字段提供“% value”的无效值。"
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"No such entity with %fieldName = %fieldValue","没有任何具有% fieldName = % fieldValue的实体"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue."
