"Delete Customer","Ștergeți client"
"Back","Înapoi"
"Delete Company","Ștergeți Compania"
"Reset","Resetați"
"Save","Salvare"
"Save & Close","Salvare și închidere"
"Companies","Companii"
"Add New Company","Adăugați Companie Nouă"
"(me)","(me)"
"Company Name:","Numele companiei:"
"Company Legal Name:","Numele juridic al companiei:"
"Company Email:","Email-ul firmei:"
"VAT/TAX ID:","VAT/TAX ID:"
"Re-seller ID:","ID revânzător:"
"Street Address:","Adresa:"
"City:","Oraș:"
"Country:","Țara:"
"State/Province:","Județ/provincie:"
"ZIP/Postal Code:","Cod poștal:"
"Phone Number:","Număr de telefon:"
"Job Title:","Titlu job:"
"Email Address:","Adresa Email "
"Prefix:","Prefix:"
"First Name:","Prenume:"
"Middle Name/Initial:","Nume de mijloc/Initial:"
"Last Name:","Nume:"
"Suffix:","Sufix:"
"Gender:","Gen:"
"Duplicated","Duplicat"
"Company Structure","Structura companiei"
"Page not found.","Pagina nu este găsită."
"Something went wrong.","Ceva nu a funcționat corect."
"New Company","Companie nouă"
"Thank you! We're reviewing your request and will contact you soon","Vă mulțumim! Examinăm solicitarea dvs. și vă vom contacta în curând"
"An error occurred on the server. Your changes have not been saved.","A apărut o eroare pe server. Modificările tale nu au fost salvate."
"Incorrect CAPTCHA","CAPTCHA incorect"
"Create New Company","Creați o firmă nouă"
"A total of %1 record(s) were updated.","Un total de %1 au fost actualizate."
"Something went wrong. Please try again later.","A apărut o eroare. Te rugăm să încerci din nou mai târziu."
"Invalid value of ""%value"" provided for the email field.","Valoare nevalidă pentru valoarea ""%"" furnizată pentru câmpul de e-mail."
"Invalid value ""%value"" given for the website ID field.","Valoare nevalidă ""%value"" dată pentru câmpul ID website"
"You have deleted company %companyName.","Ați șters firma %companyName."
"The company no longer exists.","Compania nu mai există."
"The requested company is not found","Compania solicitată nu a fost găsită"
"Please correct the data sent.","Corectați informațiile trimise."
"can not be saved","Nu poate fi salvat"
"A total of %1 record(s) were deleted.","Un total de %1 registre au fost șterse."
"Could not save company","Nu s-a putut salva firma"
"You have saved company %companyName.","Ați salvat compania %companyName."
"You have created company %companyName.","Ați creat firma %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Un utilizator cu această adresă de e-mail există deja în sistem. Dacă alegeți să continuați, utilizatorul va fi legat de firma dvs."
"A user with this email address is already a member of your company.","Un utilizator cu această adresă de e-mail este deja membru al firmei dvs."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Un utilizator cu această adresă de e-mail există deja în sistem. Introduceți o adresă de e-mail diferită pentru a crea acest utilizator."
"You are not allowed to do this.","Nu vă este permis să faceți acest lucru."
"Cannot create the customer.","Clientul nu poate fi creat."
"The customer was successfully created.","Clientul a fost creat cu succes."
"You cannot delete yourself.","Nu te poți șterge."
"Cannot delete this user.","Nu se poate șterge acest utilizator."
"The customer was successfully deleted.","Clientul a fost șters cu succes."
"The customer was successfully updated.","Clientul a fost actualizat cu succes."
"Company Profile","Profil companie"
"The changes you made on the company profile have been successfully saved.","Modificările pe care le-ați făcut pe profilul firmei au fost salvate cu succes."
"You must fill in all required fields before you can continue.","Trebuie să completați toate câmpurile obligatorii înainte de a putea continua."
"Bad Request","Solicitare greșită"
"You have deleted role %companyRoleName.","Ați șters rolul %companyRoleNume."
"Add New Role","Adăugați rol nou"
"Edit Role","Editare rol"
"Roles and Permissions","Roluri și permisiuni"
"The tree retrieved successfully.","Copacul a fost recuperat cu succes."
"The item was successfully moved.","Elementul a fost mutat cu succes."
"The team was successfully deleted.","Echipa a fost ștearsă cu succes."
"The team was successfully updated.","Echipa a fost actualizată cu succes."
"The team was successfully created.","Echipa a fost creata cu succes."
"Company Users","Utilizatori Companie"
"A customer with the same email already assigned to company.","Un client cu același e-mail atribuit deja companiei."
"Active","Activ"
"Pending Approval","În așteptarea aprobării"
"Rejected","Respins"
"Blocked","Blocat"
"The company admin cannot be moved to a different location in the company structure.","Administratorul companiei nu poate fi mutat într-o locație diferită în structura companiei."
"A user or a team cannot be moved under itself.","Un utilizator sau o echipă nu poate fi mutat sub sine."
"A user or a team cannot be moved under its child user or team.","Un utilizator sau o echipă nu poate fi mutat sub utilizatorul sau echipa sa copil."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","ID-ul părinte specificat aparține unei firme diferite. Entitatea specificată (echipa sau utilizatorul) și noul său părinte trebuie să aparțină aceleiași firme."
"Unable to move customer structure.","Imposibil de mutat structura clientului."
"Cannot delete company with id %1","Nu se poate șterge firma cu id %1"
"No company admin email is specified in request.","Niciun e-mail de administrator al firmei nu este specificat în cerere."
"No company admin website ID is specified in request.","Nu este specificat niciun ID website administrator pentru firmă în cerere."
"No such entity with id = %idValue","Nici o astfel de entitate cu ID = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Utilizatorul %1 este administratorul companiei și nu poate fi setat pe inactiv. Trebuie să setați un alt utilizator ca administrator al firmei mai întâi."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Nu poți actualiza atributul solicitat. ID rând: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Valoare atribut nevalidă. Nu se poate schimba firma pentru administratorul unei firme."
"Company admin","Administrator companie"
"Company user","Utilizator companie"
"Individual user","Utilizator individual"
"Inactive","Inactiv"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Nu se poate seta ""allow"" pentru resursă deoarece resursa/resursele sale părinte este setat(e) la ""deny""."
"Invalid login or password.","Utilizator sau parolă nevalidă."
"This account is locked.","Acest cont este blocat."
"Your account is not yet approved. If you have questions, please contact the seller.","Contul dvs. nu este încă aprobat. Dacă aveți întrebări, vă rugăm să contactați vânzătorul."
"There was an error saving custom attributes.","A apărut o eroare la salvarea atributelor personalizate."
"Invalid value of ""%value"" provided for the %fieldName field.","Valoare nevalidă pentru ""%value"" furnizată pentru câmpul %fieldname."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" este necesar. Introduceți și încercați din nou."
"No such entity with %fieldName = %fieldValue","Nicio astfel de entitate cu %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Acest rol nu poate fi șters deoarece utilizatorii sunt asociați. Realocați utilizatorii la un alt rol pentru a continua."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Nu puteți șterge un rol atunci când acesta este singurul rol în companie. Trebuie să creați un alt rol înainte de a șterge acest rol."
"User role with this name already exists. Enter a different name to save this role.","Rolul de utilizator cu acest nume există deja. Introduceți un nume diferit pentru a salva acest rol."
"Cannot delete role with id %1","Nu se poate șterge rolul cu id %1"
"Type %1 is not an instance of %2","Tipul %1 nu este o instanță de %2"
"The selected user is inactive. To continue, select another user or activate the current user.","Utilizatorul selectat este inactiv. Pentru a continua, selectați un alt utilizator sau activați utilizatorul curent."
"This customer is a user of a different company. Enter a different email address to continue.","Acest client este un utilizator diferit al unei companii. Introduceți o adresă de e-mail diferită pentru a continua."
"Company with this email address already exists in the system. Enter a different email address to continue.","Compania cu această adresă de e-mail există deja în sistem. Introduceți o adresă de e-mail diferită pentru a continua."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Valoare de atribut nevalidă. Data & ora respinsă și Motivul Respins pot fi modificate numai atunci când starea companiei este schimbată în Respingere."
"Could not save company: %1","Nu s-a putut salva compania: %1"
"Cannot delete structure with id %1","Nu se poate șterge structura cu id %1"
"Could not create team","Nu s-a putut crea echipa"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Această echipă are utilizatori copii sau echipe aliniate la ea și nu poate fi ștearsă. Vă rugăm să re-aliniați mai întâi utilizatorii sau echipele copilului."
"Could not update team","Nu s-a putut actualiza echipa"
"Cannot delete team with id %1","Nu se poate șterge echipa cu id %1"
"You cannot assign a different role to a company admin.","Nu puteți atribui un rol diferit unui administrator al companiei."
"You cannot assign multiple roles to a user.","Nu puteți atribui mai multe roluri unui utilizator."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Nu se poate șterge administratorul companiei. Operația a fost oprită. Vă rugăm să repetați acțiunea pentru ceilalți clienți."
"Something went wrong","A avut loc o eroare"
"This customer company account is blocked and customer cannot place orders.","Acest cont al firmei de clienți este blocat și clientul nu poate plasa comenzi."
"The consumer isn't authorized to access resource.","Consumatorul nu este autorizat să acceseze resursa."
" - Duplicated"," - Duplicat"
"message","mesaj"
"Exception message","Mesaj excepție"
"test","test"
"phrase","frază"
"exception","excepție"
"Localized Exception.","Excepție Localizată."
"Error message","Mesaj eroare"
"No such entity.","Nu există o astfel de entitate."
"error message","Mesaj de eroare"
"Could not save role","Nu s-a putut salva rolul"
