"Attribute Properties","Поставке атрибута"
"Default Label","Подразумевана Ознака"
"Default label","Подразумевана ознака"
"Attribute Code","Код атрибута"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Користи се интерно. Не користите размак или више од %1 симбола."
"Catalog Input Type for Store Owner","Тип уноса каталога за Власника Продавнице"
"Values Required","Обавезне Вредности"
"Default Value","Подразумеване вредности"
"Unique Value","Јединствена вредност"
"Unique Value (not shared with other products)","Јединствена вредност (не дели се са другим производима)"
"Not shared with other products.","Не дели се са другим производима."
"Input Validation for Store Owner","Улазна валидност за власника радње"
"Required","Обавезно"
"Yes","Да"
"No","Не"
"System","Систем"
"None","Ништа"
"Decimal Number","Децимални Број"
"Integer Number","Цели Бројеви"
"Email","Е-пошта"
"URL","URL"
"Letters","Слова"
"Letters (a-z, A-Z) or Numbers (0-9)","Слова (а-з, А-З) или Бројеви (0-9)"
"Text Field","Текстуално Поље"
"Text Area","Текстуална Област"
"Date","Датум"
"Yes/No","Да/Не"
"Multiple Select","Избор више ставки"
"Dropdown","Падајућа листа"
"Input type ""%value%"" not found in the input types list.","Тип уноса ""%валуе%"" није пронађен у листи типова уноса."
"Attribute object is undefined","Објекат атрибута није дефинисан"
"Entity object is undefined","Ентитет објекта није дефинисан"
"""%1"" invalid type entered.","""%1"" неисправан тип је унет."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" садржи вредности које нису ни слова ни бројеви."
"""%1"" is an empty string.","""%1"" је празан низ."
"""%1"" contains non-numeric characters.","""%1"" садржи карактере који нису бројеви."
"""%1"" contains non-alphabetic characters.","""%1"" садржи карактере који нису слова."
"""%1"" is not a valid email address.","""%1"" није валидна мејл адреса."
"""%1"" is not a valid hostname.","""%1"" није валидно хостнаме."
"""%1"" uses too many characters.","""%1"" користи превише карактера."
"'%value%' looks like an IP address, which is not an acceptable format.","'%валуе%' изгледа као ИП адреса, што није прихватљив формат."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%валуе%' изгледа као ДНС хостнаме али садржи цртицу на погрешном месту."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%валуе%' изгледа као ДНС хостнаме али не можемо га упоредити са хостнаме шемом за ТЛД '%тлд%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%валуе%' изгледа као ДНС хостнаме али не може издвојити ТЛД део."
