"Attribute Properties","Vlastnosti atribútu"
"Default Label","Default Label"
"Default label","Default label"
"Attribute Code","Kód atribútu"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Toto sa používa interne. Uistite sa, že nepoužívate medzery alebo viac ako %1 symbol(ov)."
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Values Required","Values Required"
"Default Value","Predvolená hodnota"
"Unique Value","Jedinečná hodnota"
"Unique Value (not shared with other products)","Jedinečná hodnota (nezdieľa sa s ostatnými produktmi)"
"Not shared with other products.","Nezdiela sa s ostatnými produktmi."
"Input Validation for Store Owner","Vstupné overenie pre majiteľa obchodu"
"Required","Požadované"
"Yes","Áno"
"No","Nie"
"System","Systém"
"None","Žiadne"
"Decimal Number","Decimal Number"
"Integer Number","Integer Number"
"Email","E-mail"
"URL","URL"
"Letters","Letters"
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) or Numbers (0-9)"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Attribute object is undefined","Nedefinový objekt atribútu"
"Entity object is undefined","Entity object is undefined"
"""%1"" invalid type entered.","""%1"" zadaný neplatný typ."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" obsahuje iné znaky než písmená alebo čísla."
"""%1"" is an empty string.","""%1"" je prázdny reťazec."
"""%1"" contains non-numeric characters.","""%1"" obsahuje iné znaky než čísla."
"""%1"" contains non-alphabetic characters.","""%1"" obsahuje iné znaky než písmena."
"""%1"" is not a valid email address.","""%1"" nie je platná emailová adresa."
"""%1"" is not a valid hostname.","""%1"" nie je platný hostname."
"""%1"" uses too many characters.","""%1"" používa príliš veľa znakov."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" vyzerá ako IP adresa, ktorá nie je prijateľnom formáte."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","""%value%"" vyzerá ako DNS hostname, ale obsahuje pomlčku na zakáznom mieste."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","""%value%"" vyzerá ako DNS hostname, ale formát je neplatný pre TLD ""%tld%""."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","""%value%"" vyzerá ako DNS hostname, ale nieje možné rozpoznať TLD časť."
"'%value%' does not look like a valid local network name.","""%value%"" nevyzerá ako platný názov miestnej siete."
"'%value%' looks like a local network name, which is not an acceptable format.","""%value%"" vyzerá ako názov miestnej siete, ktorý nie je prijateľnom formáte."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","""%value%"" sa zdá byť DNS hostname, ale daný punycode zápis nie je možné dekódovať."
"""%1"" is not a valid URL.","""%1"" nie je platnou adresou URL."
"""%1"" is not a valid date.","""%1"" nie je platný dátum."
"""%1"" does not fit the entered date format.","""%1"" nezodpovedá formátu zadaného dátumu."
"""%1"" is a required value.","""%1"" je požadovaná hodnota."
"Please enter a valid date between %1 and %2 at %3.","Prosím zadajte platný dátum medzi %1 a %2 v %3."
"Please enter a valid date equal to or greater than %1 at %2.","Prosím zadajte platný dátum rovný alebo väčší ako %1 v %2."
"Please enter a valid date less than or equal to %1 at %2.","Prosím zadajte platný dátum starší alebo rovný %1 v %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format","""%1"" is not a valid image format"
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" cannot contain more than %2 lines."
