"Attribute Properties","خواص ویژگی"
"Default Label","برچسب پیش فرض"
"Default label","برچسب پیش فرض"
"Attribute Code","کد ویژگی"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","این در داخل استفاده می شود. اطمینان حاصل کنید که از فضاهای یا بیش از %1 نشانه استفاده نکنید."
"Catalog Input Type for Store Owner","نوع ورودی کاتالوگ برای مالک فروشگاه"
"Values Required","مقادیر الزامی"
"Default Value","مقدار پیش فرض"
"Unique Value","مقدار یکتا"
"Unique Value (not shared with other products)","مقدار یکتا (با محصولات دیگر مشترک نیست)"
"Not shared with other products.","با محصولات دیگر مشترک نیست."
"Input Validation for Store Owner","ارزیابی ورودی برای مالک فروشگاه"
"Required","الزامی"
"Yes","بله"
"No","خیر"
"System","سيستم"
"None","هیچ یک"
"Decimal Number","عدد اعشاری"
"Integer Number","عدد صحیح"
"Email","ايميل"
"URL","URL"
"Letters","حروف"
"Letters (a-z, A-Z) or Numbers (0-9)","حروف (a-z, A-Z) یا اعداد (9-0)"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Input type ""%value%"" not found in the input types list.","نوع ورودی""%value%"" در فهرست انواع ورودی یافت نشد."
"Attribute object is undefined","ویژگی تعريف نشده است"
"Entity object is undefined","موجوديت شیء تعریف نشده است"
"""%1"" invalid type entered.","""%1"" نوع نامعتبر وارد شده است."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" حاوی کاراکترهای غیر الفبایی یا غیر عددی است."
"""%1"" is an empty string.","""%1"" یک رشته خالی است."
"""%1"" contains non-numeric characters.","""%1"" شامل کاراکترهای غیر عددی است."
"""%1"" contains non-alphabetic characters.","""%1"" شامل کاراکتر های غیر الفبایی می باشد."
"""%1"" is not a valid email address.","""%1"" یک آدرس ایمیل معتبر نیست."
"""%1"" is not a valid hostname.","""%1"" یک نام هاست معتبر نیست."
"""%1"" uses too many characters.","""%1"" از تعداد زیادی کاراکتر استفاده می کند."
"'%value%' looks like an IP address, which is not an acceptable format.","به نظر می رسد '%value%' یک آدرس IP است، که یک فرمت قابل قبول نیست."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","به نظر می رسد '%value%' یک نام هاست DNS است، اما حاوی یک خط تیره در موقعیتی نادرست است."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","به نظر می رسد '%value%' نام یک هاست DNS است، اما ما نمی توانیم آن را با طرح نام هاست برای TLD '%tld%'مطابقت دهیم."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","به نظر می رسد '%value%' نام یک هاست DNS است ولی نمی تواند بخش TLD را استخراج کند."
"'%value%' does not look like a valid local network name.","'%value%' مانند یک نام شبکه محلی معتبر نیست."
"'%value%' looks like a local network name, which is not an acceptable format.","به نظر می رسد '%value%' نام یک شبکه محلی است، که یک فرمت قابل قبول نیست."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' ظاهرا یک نام هاست DNS است، اما علامت punycode داده شده قابل رمزگشایی نیست."
"""%1"" is not a valid URL.","""%1"" یک URL معتبر نیست."
"""%1"" is not a valid date.","""%1"" یک تاریخ معتبر نیست."
"""%1"" does not fit the entered date format.","""%1"" متناسب با فرمت تاریخ وارد شده نیست."
"""%1"" is a required value.","""%1"" یک مقدار الزامی است."
"Please enter a valid date between %1 and %2 at %3.","لطفا یک تاریخ معتبر بین %1 و %2 را در %3 وارد کنید."
"Please enter a valid date equal to or greater than %1 at %2.","لطفا یک تاریخ معتبر برابر یا بیشتر از %1 را در %2 وارد کنید."
"Please enter a valid date less than or equal to %1 at %2.","لطفا یک تاریخ معتبر که کمتر یا برابر %1 باشد را در %2 وارد کنید."
"""%1"" is not a valid file extension.","""%1"" یک فرمت فایل معتبر نیست."
"""%1"" is not a valid file.","""%1"" یک فایل معتبر نیست."
"""%1"" exceeds the allowed file size.","""%1"" بیش از اندازه مجاز فایل است."
"""%1"" is not a valid image format","فرمت تصویر ""%1"" معتبر نیست"
"""%1"" width exceeds allowed value of %2 px.","عرض ""%1"" بیش از مقدار مجاز %2 پیکسل است."
"""%1"" height exceeds allowed value of %2 px.","ارتفاع ""%1"" بیش از مقدار مجاز %2 پیکسل است."
"""%1"" cannot contain more than %2 lines.","""%1"" نمی تواند بیش از %2 خط باشد."
"""%1"" length must be equal or greater than %2 characters.","طول ""%1"" باید برابر یا بیشتر از %2 کاراکتر باشد."
"""%1"" length must be equal or less than %2 characters.","طول ""%1"" باید برابر یا کمتر از %2 کاراکتر باشد."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"Invalid entity_type specified: %1","Entity_type نامعتبر مشخص شده است: %1"
"Entity is not initialized","ورودی مقداردهی اولیه نشده است"
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"Unique constraint violation found","نقض محدودیتی منحصر به فرد یافت شد"
"The attribute code '%1' is reserved by system. Please try another attribute code","کد ویژگی '%1' توسط سیستم رزرو می شود. لطفا کد ویژگی دیگری را امتحان کنید"
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"Do not change entity type.","Do not change entity type."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"Source model ""%1"" not found for attribute ""%2""","مدل منبع ""%1"" برای ویژگی ""%2"" یافت نشد"
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"Invalid date","تاریخ نامعتبر است"
"The attribute option label is empty. Enter the value and try again.","The attribute option label is empty. Enter the value and try again."
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
"The option id is empty. Enter the value and try again.","The option id is empty. Enter the value and try again."
"The '%1' attribute doesn't include an option id '%2'.","The '%1' attribute doesn't include an option id '%2'."
"Admin store attribute option label '%1' is already exists.","Admin store attribute option label '%1' is already exists."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"No options found.","هیچ گزینه ای یافت نشد."
"label","برچسب"
"The entity supplied to collection is invalid. Verify the entity and try again.","The entity supplied to collection is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"Invalid attribute identifier for filter (%1)","شناساگر ویژگی نامعتبر برای فیلتر (%1)"
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
