"Attribute Properties","Vlastnosti atributu"
"Attribute %1 doesn't have any option","Atribut %1 nemá žádné volby"
"Cannot load options for attribute %1","Nelze načíst možnosti atributu %1"
"Attribute %1 does not contain option with Id %2","Atribut %1 neobsahuje možnost s ID %2"
"Entity attribute with id ""%1"" not found","Atribut entity s ID ""%1"" nebyl nalezen"
"Attribute set name is empty.","Název sady atributů je prázdný."
"An attribute set named ""%1"" already exists.","Sada atributů s názvem ""%1"" již existuje."
"No options found.","Žádná možnost nebyla nalezena."
"label","označení"
"Invalid entity supplied: %1","Uvedena neplatná entita: %1"
"Attempt to add an invalid object","Pokus o přidání neplatného objektu"
"Invalid attribute identifier for filter (%1)","Neplatný identifikátor atributu pro filtr (%1)"
"Invalid attribute requested: %1","Požadován neplatný atribut: %1"
"Joint field or attribute expression with this alias is already declared","Společný údaj nebo výraz atributu s tímto aliasem je již deklarován"
"Invalid alias, already exists in joint attributes","Neplatný alias, ve společných atributech již existuje"
"Invalid foreign key","Neplatný cizí klíč"
"Invalid entity type","Neplatný typ entity"
"Invalid attribute type","Neplatný typ atributu"
"A joined field with this alias is already declared.","Společný údaj s tímto aliasem je již deklarován."
"Invalid joint fields","Neplatné společné údaje"
"A joint field with this alias (%1) is already declared.","Společný údaj s aliasem (%1) je již deklarován."
"Data integrity: No header row found for attribute","Integrita dat: nebyl nalezen řádek záhlaví pro atribut"
"Invalid attribute name: %1","Neplatný název atributu: %1"
"Invalid character encountered in increment ID: %1","Neplatný znak v přírůstkovém ID: %1"
"The current module pathname is undefined.","Název cesty modulu není definován."
"The current module EAV entity is undefined.","EAV entita modulu není definována."
"The form code is not defined.","Kód formuláře není definován."
"The entity instance is not defined.","Instance entity není definována."
"Invalid form type.","Neplatný formát formuláře."
"Invalid EAV attribute","Neplatný EAV atribut"
"Attribute with the same code","Atribut se stejným kódem"
"The storefront label is not defined.","Označení v obchodě není zadáno."
"Default option value is not defined","Není definována výchozí hodnota volby"
"Attribute group with same code already exist. Please rename ""%1"" group","Attribute group with same code already exist. Please rename ""%1"" group"
"Form Element with the same attribute","Element formuláře se stejným atributem"
"Form Fieldset with the same code","Sada údajů formuláře se stejným kódem"
"Form Type with the same code","Typ formuláře se stejným kódem"
"The value of attribute ""%1"" is invalid.","Hodnota atributu ""%1"" je neplatná."
"Wrong entity ID","Nesprávné ID entity"
"Wrong attribute set ID","Nesprávné ID sady atributů"
"Wrong attribute group ID","Nesprávné ID skupiny atributů"
"An attribute code must not be less than %1 and more than %2 characters.","Kód atributu nesmí být kratší než %1 a delší než %2 znaků."
"Attribute with ID: ""%1"" does not exist","Attribute with ID: ""%1"" does not exist"
"AttributeSet does not exist.","Sada atributů neexistuje."
"hello","ahoj"
"Some internal exception message.","Nějaká zpráva interní výjimky."
"The value of attribute not valid","Hodnota atributu je neplatná"
"EAV types and attributes","EAV typy a atributy"
"Entity types declaration cache","Mezipaměť deklarací typů entit"
"Not shared with other products","Není sdíleno s jinými produkty"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' vypadá jako DNS hostitele, ale TLD nelze v seznamu známých hodnot najít."
"Entity types declaration cache.","Mezipaměť deklarací typů entit."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
