"Attribute Properties","Attribut-Eigenschaften"
"Default Label","Standard-Beschriftung"
"Default label","Standard-Beschriftung"
"Attribute Code","Attribut-Code"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dies wird intern verwendet. Stellen Sie sicher, dass Sie keine Leerzeichen und nicht mehr als %1 Zeichen verwenden."
"Catalog Input Type for Store Owner","Katalog Eingabetyp für Shop-Betreiber"
"Values Required","Werte erforderlich"
"Default Value","Standardwert"
"Unique Value","Einmaliger Wert"
"Unique Value (not shared with other products)","Eindeutiger Wert (nicht mit anderen Produkten geteilt)"
"Not shared with other products.","Nicht mit anderen Produkten geteilt."
"Input Validation for Store Owner","Eingabeüberprüfung für Shopbetreiber"
"Required","Erforderlich"
"Yes","Ja"
"No","Nein"
"System","System"
"None","Keine"
"Decimal Number","Dezimalzahl"
"Integer Number","Ganze Zahl"
"Email","E-Mail"
"URL","URL"
"Letters","Buchstaben"
"Letters (a-z, A-Z) or Numbers (0-9)","Buchstaben (a-Z, A-Z) oder Zahlen (0-9)"
"Text Field","Einzeiliges Textfeld"
"Text Area","Mehrzeiliger Text"
"Date","Datum"
"Yes/No","Ja/Nein"
"Multiple Select","Mehrfach Auswahl"
"Dropdown","Dropdown-Liste"
"Input type ""%value%"" not found in the input types list.","Eingabetyp ""%value"" wurde in der Eingabetyp-Liste nicht gefunden."
"Attribute object is undefined","Attribut Objekt ist nicht definiert"
"Entity object is undefined","Entitäten-Objekt ist nicht definiert"
"""%1"" invalid type entered.","""%1"" Ungültiger Typ eingegeben."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" enthält nicht alphabetische oder nicht numerische Zeichen."
"""%1"" is an empty string.","""%1"" ist eine leere Zeichenfolge."
"""%1"" contains non-numeric characters.","""%1"" enthält nicht numerische Zeichen."
"""%1"" contains non-alphabetic characters.","""%1"" enthält nicht alphabetische Zeichen."
"""%1"" is not a valid email address.","""%1"" ist keine gültige E-Mail-Adresse."
"""%1"" is not a valid hostname.","""%1"" ist kein gültiger Hostname."
"""%1"" uses too many characters.","""%1"" verwendet zu viele Zeichen."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' sieht wie eine IP-Adresse aus, was kein akzeptiertes Format ist."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' scheint ein DNS-Hostname zu sein, enthält aber einen Bindestrich an einer ungültigten Position."
