"Attribute Properties","Attributtegenskaper"
"Default Label","Standardetikett"
"Default label","Standardetikett"
"Attribute Code","Attributtkode"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dette brukes internt. Kontroller at du ikke bruker mellomrom eller mer enn %1 symboler."
"Catalog Input Type for Store Owner","Katalog innput type for butikkeier"
"Values Required","Verdier påkrevd"
"Default Value","Standardverdi"
"Unique Value","Unik verdi"
"Unique Value (not shared with other products)","Unik verdi (ikke delt med andre produkter)"
"Not shared with other products.","Ikke delt med andre produkter."
"Input Validation for Store Owner","Validering av inndata for butikkeier"
"Required","Kreves"
"Yes","Ja"
"No","Nei"
"System","System"
"None","Ingen"
"Decimal Number","Desimaltall"
"Integer Number","Integer Number"
"Email","E-post"
"URL","URL"
"Letters","Letters"
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) or Numbers (0-9)"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Attribute object is undefined","Attributtet er udefinert"
"Entity object is undefined","Entity object is undefined"
"""%1"" invalid type entered.","""%1"" ugyldig type angitt."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" inneholder ikke-alfabetiske eller ikke-numeriske tegn."
"""%1"" is an empty string.","""%1"" er en tom string."
"""%1"" contains non-numeric characters.","""%1"" inneholder ikke-numeriske tegn."
"""%1"" contains non-alphabetic characters.","""%1"" inneholder ikke-alfabetiske tegn."
"""%1"" is not a valid email address.","""%1"" er ikke en gyldig e-postadresse."
"""%1"" is not a valid hostname.","""%1"" er ikke et gyldig hostnavn."
"""%1"" uses too many characters.","""%1"" bruker for mange tegn."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ser ut som en IP-adresse, som ikke er et akseptabelt format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' set ut som et DNS hostnavn, men inneholder en bindestrek i en ugyldig posisjon."
