"Attribute Properties","Postavke atributa"
"Default Label","Podrazumevana Oznaka"
"Default label","Podrazumevana oznaka"
"Attribute Code","Kod atributa"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Koristi se interno. Ne koristite razmak ili više od %1 simbola."
"Catalog Input Type for Store Owner","Tip unosa kataloga za Vlasnika Prodavnice"
"Values Required","Obavezne Vrednosti"
"Default Value","Podrazumevane vrednosti"
"Unique Value","Jedinstvena vrednost"
"Unique Value (not shared with other products)","Jedinstvena vrednost (ne deli se sa drugim proizvodima)"
"Not shared with other products.","Ne deli se sa drugim proizvodima."
"Input Validation for Store Owner","Ulazna validnost za vlasnika radnje"
"Required","Obavezno"
"Yes","Da"
"No","Ne"
"System","Sistem"
"None","Ništa"
"Decimal Number","Decimalni Broj"
"Integer Number","Celi Brojevi"
"Email","E-pošta"
"URL","URL"
"Letters","Slova"
"Letters (a-z, A-Z) or Numbers (0-9)","Slova (a-z, A-Z) ili Brojevi (0-9)"
"Text Field","Tekstualno Polje"
"Text Area","Tekstualna Oblast"
"Date","Datum"
"Yes/No","Da/Ne"
"Multiple Select","Izbor više stavki"
"Dropdown","Padajuća lista"
"Input type ""%value%"" not found in the input types list.","Tip unosa ""%value%"" nije pronađen u listi tipova unosa."
"Attribute object is undefined","Objekat atributa nije definisan"
"Entity object is undefined","Entitet objekta nije definisan"
"""%1"" invalid type entered.","""%1"" neispravan tip je unet."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" sadrži vrednosti koje nisu ni slova ni brojevi."
"""%1"" is an empty string.","""%1"" je prazan niz."
"""%1"" contains non-numeric characters.","""%1"" sadrži karaktere koji nisu brojevi."
"""%1"" contains non-alphabetic characters.","""%1"" sadrži karaktere koji nisu slova."
"""%1"" is not a valid email address.","""%1"" nije validna mejl adresa."
"""%1"" is not a valid hostname.","""%1"" nije validno hostname."
"""%1"" uses too many characters.","""%1"" koristi previše karaktera."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' izgleda kao IP adresa, što nije prihvatljiv format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' izgleda kao DNS hostname ali sadrži crticu na pogrešnom mestu."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' izgleda kao DNS hostname ali ne možemo ga uporediti sa hostname šemom za TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' izgleda kao DNS hostname ali ne može izdvojiti TLD deo."
"'%value%' does not look like a valid local network name.","'%value%' ne izgleda kao validan naziv lokalne mreže."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' izgleda kao naziv lokalne mreže, što nije prihvatljiv format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' izgleda kao DNS hostname, ali se data punycode notacija ne može dekodirati."
"""%1"" is not a valid URL.","""%1"" nije važeći URL."
"""%1"" is not a valid date.","""%1"" nije važeći datum."
"""%1"" does not fit the entered date format.","""%1"" ne odgovara unetom formatu datuma."
"""%1"" is a required value.","""%1"" je obavezna vrednost."
"Please enter a valid date between %1 and %2 at %3.","Molimo unesite validan datum izmedu %1 i %2 u %3."
"Please enter a valid date equal to or greater than %1 at %2.","Molimo unesite validan datum jednak ili veći od %1 u %2."
"Please enter a valid date less than or equal to %1 at %2.","Molimo unesite validan datum manji ili jednak od %1 u %2."
"""%1"" is not a valid file extension.","""%1"" nije validna ekstenzija za fajl."
"""%1"" is not a valid file.","""%1"" nije validan fajl."
