"Attribute Properties","Proprietăți atribut"
"Default Label","Etichetă implicită"
"Default label","Etichetă implicită"
"Attribute Code","Cod atribut nevalid"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Acesta este folosit intern. Asigurați-vă că nu folosiți spații sau mai mult de %1 simboluri."
"Catalog Input Type for Store Owner","Tip input catalog pentru proprietarul magazinului"
"Values Required","Valori necesare"
"Default Value","Valoare implicită"
"Unique Value","Valoare unică"
"Unique Value (not shared with other products)","Valoare unică (nepartajată cu alte produse)"
"Not shared with other products.","Not shared with other products."
"Input Validation for Store Owner","Validare input pentru proprietarul de magazin"
"Required","Necesar"
"Yes","Da"
"No","Nu"
"System","Sistem"
"None","Nici unul"
"Decimal Number","Numar zecimal"
"Integer Number","Număr întreg"
"Email","Email"
"URL","URL"
"Letters","Litere"
"Letters (a-z, A-Z) or Numbers (0-9)","Litere (a-z, A-Z) sau Numere (0-9)"
"Text Field","Câmp text"
"Text Area","Zonă text"
"Date","Data"
"Yes/No","Da/Nu"
"Multiple Select","Selecție multiplă"
"Dropdown","Dropdown"
"Input type ""%value%"" not found in the input types list.","Tip input ""%value%"" nu este găsit în lista de tipuri input."
"Attribute object is undefined","Obiect atribut nedefinit"
"Entity object is undefined","Obiect entitate nedefinit"
"""%1"" invalid type entered.","Tip ""%1"" nevalid introdus."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" conține caractere non-alfabetice sau non-numerice."
"""%1"" is an empty string.","""%1"" este un șir gol."
"""%1"" contains non-numeric characters.","""%1"" cnține caractere non-numerice."
"""%1"" contains non-alphabetic characters.","""%1"" conține caractere non-alfabetice."
"""%1"" is not a valid email address.","""%1"" nu este o adresă email validă."
"""%1"" is not a valid hostname.","""%1"" nu este un nume de gazdă valid."
"""%1"" uses too many characters.","""%1"" folosește prea multe caractere."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" nu este un URL valid."
"""%1"" is not a valid date.","""%1"" nu este o dată validă."
"""%1"" does not fit the entered date format.","""%1"" nu coincide cu formatul datei introdus."
"""%1"" is a required value.","""%1"" este o valoare necesară."
"Please enter a valid date between %1 and %2 at %3.","Introduceți o dată validă între %1 și %2 la %3."
"Please enter a valid date equal to or greater than %1 at %2.","Introduceți o dată validă, egală cu sau mai mare decât %1 la %2."
"Please enter a valid date less than or equal to %1 at %2.","Introduceți o dată validă mai mică decât sau egală cu %1 la %2."
"""%1"" is not a valid file extension.","""%1"" nu este o extensie de fișier validă."
"""%1"" is not a valid file.","""%1"" nu este un fișier valid."
"""%1"" exceeds the allowed file size.","""%1"" depășește mărimea permisă a fișierului."
"""%1"" is not a valid image format","""%1"" nu este un format de imagine valid."
"""%1"" width exceeds allowed value of %2 px.","Lățimea ""%1"" depășește valoarea admisă de %2 px."
"""%1"" height exceeds allowed value of %2 px.","înălțimea ""%1"" depășește valoarea admisă de %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" nu poate conține mai mult de %2 rânduri."
"""%1"" length must be equal or greater than %2 characters.","Lungimea ""%1"" trebuie să fie egală cu sau mai mare de %2 caractere."
"""%1"" length must be equal or less than %2 characters.","Lungimea ""%1"" trebuie să fie egală cu sau mai mică de %2 caractere."
"Attribute group does not belong to provided attribute set","Attribute group does not belong to provided attribute set"
"Cannot save attributeGroup","Cannot save attributeGroup"
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Cannot delete attributeGroup with id %1","Cannot delete attributeGroup with id %1"
"AttributeSet with id ""%1"" does not exist.","AttributeSet with id ""%1"" does not exist."
"Wrong attribute set id provided","Wrong attribute set id provided"
"Attribute group does not belong to attribute set","Attribute group does not belong to attribute set"
"Attribute set not found: %1","Attribute set not found: %1"
"Attribute ""%1"" not found in attribute set %2.","Attribute ""%1"" not found in attribute set %2."
"System attribute can not be deleted","System attribute can not be deleted"
"Cannot save attribute","Cannot save attribute"
"Attribute with attributeCode ""%1"" does not exist.","Attribute with attributeCode ""%1"" does not exist."
"Cannot delete attribute.","Cannot delete attribute."
"Attribute with id ""%1"" does not exist.","Attribute with id ""%1"" does not exist."
"There was an error saving attribute set.","There was an error saving attribute set."
"Default attribute set can not be deleted","Default attribute set can not be deleted"
"There was an error deleting attribute set.","There was an error deleting attribute set."
"Invalid entity_type specified: %1","Tip_entitate specificat nevalid: %1"
"Entity is not initialized","Entitate nu este inițializată"
"Unknown parameter","Unknown parameter"
"Unique constraint violation found","Unique constraint violation found"
