"Attribute Properties","מאפייני תכונה"
"Default Label","תוית ברירת מחדל"
"Default label","תוית ברירת מחדל"
"Attribute Code","קוד תכונה"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","זהו מידע לשימוש פנימי. ודאו שאינכם משתמשים ברווחים או ביותר מ-%1 תווים."
"Catalog Input Type for Store Owner","סוג הקלט של הקטלוג עבור בעל חנות"
"Values Required","הערכים הנדרשים"
"Default Value","ערך ברירת מחדל"
"Unique Value","ערך ייחודי"
"Unique Value (not shared with other products)","ערך ייחודי (לא ישותף עם מוצרים אחרים)"
"Not shared with other products.","אינו משותף עם מוצרים אחרים."
"Input Validation for Store Owner","אימות קלט עבור בעל חנות"
"Required","נדרש"
"Yes","כן"
"No","לא"
"System","מערכת"
"None","ללא"
"Decimal Number","מספר עשרוני"
"Integer Number","מספר שלם"
"Email","דואר אלקטרוני"
"URL","כתובות URL"
"Letters","אותיות"
"Letters (a-z, A-Z) or Numbers (0-9)","אותיות (a-z, A-Z) או מספרים (0-9)"
"Text Field","שדה טקסט"
"Text Area","אזור טקסט"
"Date","תאריך"
"Yes/No","כן/לא"
"Multiple Select","בחירה מרובה"
"Dropdown","רשימה נפתחת"
"Input type ""%value%"" not found in the input types list.","סוג הקלט ""%value%"" לא נמצא ברשימה סוגי קלט."
"Attribute object is undefined","אובייקט התכונה אינו מוגדר"
"Entity object is undefined","יישות האובייקט אינה מוגדרת"
"""%1"" invalid type entered.","""%1"" סוג לא חוקי שהוזן."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" מכיל תווים שאינם אלף-ביתיים או שאינם מספריים."
"""%1"" is an empty string.","""%1"" הוא מחרוזת ריקה."
"""%1"" contains non-numeric characters.","""%1"" מכיל תווים שאינם מספריים."
"""%1"" contains non-alphabetic characters.","""%1"" מכיל תווים שאינם אלף-ביתיים."
"""%1"" is not a valid email address.","""%1"" היא לא כתובת דואר אלקטרוני חוקית."
"""%1"" is not a valid hostname.","""%1"" אינה שם מחשב מארח חוקי."
"""%1"" uses too many characters.","""%1"" משתמש בתווים רבים מדי."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' נראה כמו כתובת IP, אשר אינו פורמט מקובל."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' נראה שם מארח DNS אך מכיל מקף במיקום לא חוקי."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' נראה כמו שם מארח DNS אבל אנחנו לא מזהים אותו כנגד סכימת ה-hostname עבור TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' נראה שם מארח DNS אך אין אפשרות לחלץ חלק TLD."
"'%value%' does not look like a valid local network name.","'%value%' לא נראה כמו שם רשת מקומית חוקי."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' נראה כמו שם הרשת המקומית, אשר אינו בפורמט המקובל."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' שנראה כמו שם מארח DNS, אך לא ניתן לפענח את הסימון punycode הנתון."
"""%1"" is not a valid URL.","""%1"" אינה כתובת URL חוקית."
"""%1"" is not a valid date.","""%1"" אינה תאריך חוקי."
"""%1"" does not fit the entered date format.","""%1"" אינו תואם את תבנית התאריך המוזן."
"""%1"" is a required value.","""%1"" הוא ערך הנדרש."
"Please enter a valid date between %1 and %2 at %3.","הזינו בבקשה את תאריך חוקי בין %1 ל- %2-%3."
"Please enter a valid date equal to or greater than %1 at %2.","הזינו בבקשה את תאריך חוקי שווה או גדול מ- %1-%2."
"Please enter a valid date less than or equal to %1 at %2.","נא להקליד תאריך פחות או שווה ל %1-%2."
"""%1"" is not a valid file extension.","""%1"" הוא לא סיומת קובץ חוקי."
"""%1"" is not a valid file.","""%1"" אינו קובץ חוקי."
"""%1"" exceeds the allowed file size.","""%1"" חורג מגודל הקובץ המותר."
"""%1"" is not a valid image format","""%1"" הוא לא פורמט תמונה בתוקף"
"""%1"" width exceeds allowed value of %2 px.","רוחב ""%1"" עולה על הערך המותר של %2 פיקסל."
"""%1"" height exceeds allowed value of %2 px.","הגובה ""%1"" חורג מהערכים המותרים של %2 פיקסל."
"""%1"" cannot contain more than %2 lines.","""%1"" אינו יכול להכיל יותר מאשר %2 קווים."
"""%1"" length must be equal or greater than %2 characters.","אורך ""%1"" חייב להיות שווה או גדול מ- %2 תווים."
"""%1"" length must be equal or less than %2 characters.","אורך ""%1"" חייב להיות שווה או פחות %2 תווים."
"Attribute group does not belong to provided attribute set","קבוצת התכונה אינה משוייכת לקבוצת התכונות שסופקו"
"Cannot save attributeGroup","אין אפשרות לשמור attributeGroup"
"Group with id ""%1"" does not exist.","קבוצה עם מזהה ""%1"" אינו קיים."
"Cannot delete attributeGroup with id %1","אין אפשרות למחוק את attributeGroup עם מזהה %1"
"AttributeSet with id ""%1"" does not exist.","AttributeSet עם מזהה ""%1"" אינו קיים."
"Wrong attribute set id provided","סופק מזהה סט התכונה שגוי"
"Attribute group does not belong to attribute set","קבוצת תכונה אינה שייכת לקבוצת התכונות"
"Attribute set not found: %1","סט התכונות לא נמצא: %1"
"Attribute ""%1"" not found in attribute set %2.","התכונה ""%1"" לא נמצאה %2 בסט התכונה."
