"Now Shopping by","Сада купити преко"
"Previous","Претходни"
"Remove","Уклони"
"Remove This Item","Уклони ову ставку"
"Shop By","Купити по"
"Clear All","Очисти све"
"Shopping Options","Опције куповине"
"Welcome to %store_name","Добродошли у %сторе_наме"
"%name,","%назив,"
"Welcome to %store_name.","Добродошли у %сторе_наме."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Да бисте се пријавили на наш сајт, користите ове акредитиве током провере или на страници <а хреф=""%цустомер_урл"">Мој рачун</а>:"
"Email:","Е-маил:"
"Password:","Лозинка:"
"Password you set when creating account","Лозинка коју сте поставили приликом креирања налога"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Заборавили сте лозинку свог налога? Кликните <а хреф=""%ресет_урл""> овде</а> да бисте поништили то."
"When you sign in to your account, you will be able to:","Када се пријавите на свој налог, моћи ћете да:"
"Quick Checkout","Брза провера"
"Proceed through checkout faster","Наставите брже кроз проверу"
"Order Status","Статус поруџбине"
"Check the status of orders","Проверите статус поруџбине"
"Manage Addresses","Управљајте адресама"
"Store alternative addresses","Складиштење алтернативних адреса"
"For shipping to multiple family members and friends","За испоруку више чланова породице и пријатељима"
"Order History","Историја поруџбине"
"View past orders","Види све поруџбине"
"Footer","Подножје странице"
"<a href=%url_about_us>About Us</a>","<а хреф=%урл_абоут_ус>О нама</а>"
"<a href=url_customer_service>Customer Service</a>","<а хреф=урл_цустомер_сервице>Кориснчки Сервис</а>"
"<a href=""tel:%store_phone"">%store_phone</a>","<а хреф=""тел:%сторе_пхоне"">%сторе_пхоне</а>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Радно време:<бр /><спан цласс=""но-линк"">%сторе_хоурс</спан>."
"Credit memo for your %store_name order","Профактура за вашу %сторе_наме поруџбину"
"Thank you for your order from %store_name.","Хвала вам за поруџбину %сторе_наме."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Можете да проверите статус Ваше поруџбине пријављивањем <а хреф=""%аццоунт_урл"">у Ваш налог</а>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ако имате питања о поруџбини, можете нам писати на <а хреф=""маилто:%сторе_емаил"">%сторе_емаил</а>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Ваша профактура #%цредитмемо_ид за Поруџбину #%ордер_ид"
"Billing Info","Информације о плаћању"
"Shipping Info","Информације о испоруци"
"Payment Method","Начин плаћања"
"Shipping Method","Начин доставе"
"Update to your %store_name credit memo","Ажурирајате Вашу %сторе_наме профактуру"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Ваша поруџбина #%инцремент_ид је ажурирана са статусом <стронг>%ордер_статус</стронг>."
"Invoice for your %store_name order","Фактура за Вашу %сторе_наме поруџбину"
"Your Invoice #%invoice_id for Order #%order_id","Ваша фактура #%инвоице_ид за Поруџбину #%ордер_ид"
"Update to your %store_name invoice","Ажурирајте Вашу %сторе_наме фактуру"
"Your %store_name order confirmation","Потврда %сторе_наме Ваше поруџбине"
"%customer_name,","%цустомер_наме,"
"Once your package ships we will send you a tracking number.","Када Ваша поруџбина буде послата, послаћемо Вам број за праћење поруџбине."
"Your Order <span class=""no-link"">#%increment_id</span>","Ваша поруџбина <спан цласс=""но-линк"">#%инцремент_ид</спан>"
"Placed on <span class=""no-link"">%created_at</span>","Постављено на <спан цласс=""но-линк"">%цреатед_ат</спан>"
"Update to your %store_name order","Ажурирајте Вашу %сторе_наме поруџбину"
"Your %store_name order has shipped","Ваша %сторе_наме поруџбина је послата"
"Your shipping confirmation is below. Thank you again for your business.","Ваша потврда о испоруци је испод. Хвала Вам још једном за Ваше пословање."
"Your Shipment #%shipment_id for Order #%order_id","Испорука за #%схипмент_ид за поруџбину #%ордер_ид"
"Update to your %store_name shipment","Ажурирано на Вашој %сторе_наме пошиљци"
"Account Dashboard","Контролна табла"
"Address Book","Адресар"
"Account Information","Информације о корисничком налогу"
"About Us","О нама"
"Customer Service","Кориснички сервис"
"My Account","Мој налог"
