"Now Shopping by","Handlar nu enligt"
"Previous","Föregående"
"Remove","Ta bort"
"Remove This Item","Ta bort Denna Artikel"
"Shop By","Handla enligt"
"Clear All","Rensa alla"
"Shopping Options","Shoppingalternativ"
"Welcome to %store_name","Välkommen till %store_name"
"%name,","%name"
"Welcome to %store_name.","Välkommen till %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","För att logga in på vår webbsida, använd dessa uppgifter under utcheckningen på sidan <a href=""%customer_url"">Mitt konto </a>:"
"Email:","Epost:"
"Password:","Lösenord:"
"Password you set when creating account","Lösenord du valde när kontot skapades"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Glömt ditt lösenord? Klicka <a href=""%reset_url"">här</a> för att återställa det."
"When you sign in to your account, you will be able to:","När du loggar in på ditt konto kommer du att kunna:"
"Quick Checkout","Snabbcheckout "
"Proceed through checkout faster","Gå genom kassan snabbare"
"Order Status","Beställningsstatus"
"Check the status of orders","Se status på ordrar"
"Manage Addresses","Hantera adresser"
"Store alternative addresses","Alternativa adresser"
"For shipping to multiple family members and friends","För frakt till flera familjemedlemmar och kompisar "
"Order History","Beställningshistorik"
"View past orders","Visa tidigare beställningar"
"Footer","Sidfot"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Kreditnota för beställningen %store_name"
"Thank you for your order from %store_name.","Tack för din beställning från %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Du kan kolla statusen på din order genom att <a href=""%account_url"">logga in på ditt konto</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Om du har några frågor angående din order kan du mejla oss på <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Din kreditnota #%creditmemo_id för Order nr%order_id"
"Billing Info","Faktureringsinformation"
"Shipping Info","Shipping Info"
"Payment Method","Betalningsmetod"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Uppdatering för din kreditnota från %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Din beställning #%increment_id har uppdaterats med statusen <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktura för din beställning från %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Din faktura #%invoice_id för beställning #%order_id"
"Update to your %store_name invoice","Uppdatering för din faktura från %store_name"
"Your %store_name order confirmation","Beställningsbekräftelse från %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","När din order är behandlad och skickad kommer vi skicka dig ett trackning nummer som du kan spåra din beställning med."
"Your Order <span class=""no-link"">#%increment_id</span>","Din beställning <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Lagd <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Uppdatera din %store_name order"
"Your %store_name order has shipped","Din %store_name beställning har skickats"
"Your shipping confirmation is below. Thank you again for your business.","Din leveransbekräftelse finns nedan. Tack för att du handlar hos oss."
"Your Shipment #%shipment_id for Order #%order_id","Din försändelse #%shipment_id för order nr #%order_id"
"Update to your %store_name shipment","Uppdatering för din försändelse från %store_name"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
