"Now Shopping by","Filtro Ativo"
"Previous","Anterior"
"Remove","Eliminar"
"Remove This Item","Remover Este Item"
"Shop By","Filtrar Por"
"Clear All","Limpar Tudo"
"Shopping Options","Opções de Compra"
"Welcome to %store_name","Bem-vindo(a) à %store_name"
"%name,","%name,"
"Welcome to %store_name.","Bem-vindo à %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para iniciar sessão no nosso site, use estas credenciais durante a compra ou na página <a href=""%customer_url"">A Minha Conta</a>:"
"Email:","E-mail:"
"Password:","Palavra-passe:"
"Password you set when creating account","Palavra-passe que definiu ao criar a sua conta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu-se da palavra-passe? Clique <a href=""%reset_url"">aqui</a> para a redefinir."
"When you sign in to your account, you will be able to:","Quando iniciar sessão, vai poder:"
"Quick Checkout","Finalizar Compra Rápido"
"Proceed through checkout faster","Finalizar a compra de forma mais rápida"
"Order Status","Estado da Encomenda"
"Check the status of orders","Verificar o estado das encomendas"
"Manage Addresses","Gerir Moradas"
"Store alternative addresses","Moradas alternativas da loja"
"For shipping to multiple family members and friends","Para enviar para vários familiares e amigos"
"Order History","Histórico de encomendas"
"View past orders","Ver encomendas antigas"
"Footer","Rodapé"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Nota de crédito para a sua encomenda em %store_name"
"Thank you for your order from %store_name.","Obrigado pela sua encomenda em %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Pode verificar o estado da sua encomenda ao <a href=""%account_url"">iniciar sessão</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Se tiver alguma questão sobre a sua encomenda, pode enviar-nos um email para <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","A sua Nota de Crédito #%creditmemo_id para a Encomenda #%order_id"
"Billing Info","Informação de faturação"
"Shipping Info","Shipping Info"
"Payment Method","Método de Pagamento"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Atualizar a sua nota de crédito em %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","A sua encomenda #%increment_id foi atualizada para o estado <strong>%order_status</strong>."
"Invoice for your %store_name order","Fatura para a sua encomenda em %store_name"
"Your Invoice #%invoice_id for Order #%order_id","A sua fatura #%invoice_id para a Encomenda #%order_id"
"Update to your %store_name invoice","Atualizar a sua fatura em %store_name"
"Your %store_name order confirmation","Confirmação de encomenda em %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Assim que a sua encomenda for enviada irá receber um código para que possa acompanhar a mesma no seu trajeto."
"Your Order <span class=""no-link"">#%increment_id</span>","A sua encomenda <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Efetuada em <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Atualização da sua encomenda em %store_name"
"Your %store_name order has shipped","A sua encomenda em %store_name foi expedida"
"Your shipping confirmation is below. Thank you again for your business.","A confirmação de envio encontra-se na secção seguinte. Agradecemos novamente a sua compra."
"Your Shipment #%shipment_id for Order #%order_id","A sua Expedição #%shipment_id para a Encomenda #%order_id"
"Update to your %store_name shipment","Atualização de expedição em %store_name"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
