"Now Shopping by","Huidige filters"
"Previous","Vorige"
"Remove","Verwijder"
"Remove This Item","Verwijder dit artikel"
"Shop By","Filteren"
"Clear All","Alles wissen"
"Shopping Options","Selectie verfijnen"
"Welcome to %store_name","Welkom bij %store_name"
"%name,","%name,"
"Welcome to %store_name.","Welkom op %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Om in te loggen op onze website, gebruik deze gegevens tijdens het betalen of op de <a href=""%customer_url"">Mijn Account</a> pagina:"
"Email:","E-mail:"
"Password:","Wachtwoord:"
"Password you set when creating account","Opgegeven wachtwoord tijdens aanmaken van account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Wachtwoord vergeten? Klik <a href=""%reset_url"">hier</a> om het opnieuw in te stellen."
"When you sign in to your account, you will be able to:","Wanneer je inlogt op je account kunt u:"
"Quick Checkout","Snelle betaling"
"Proceed through checkout faster","Sneller betalen"
"Order Status","Bestelling Status"
"Check the status of orders","Orderstatus controleren"
"Manage Addresses","Beheer adressen"
"Store alternative addresses","Alternatieve adressen opslaan"
"For shipping to multiple family members and friends","Voor verzending naar meerdere familieleden en vrienden"
"Order History","Bestelgeschiedenis"
"View past orders","Orderhistorie bekijken"
"Footer","onderschrift"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Over ons</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Klantenservice</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Openingsuren:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Creditfactuur voor je %store_name bestelling"
"Thank you for your order from %store_name.","Bedankt voor je bestelling bij %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Je kan de status van je bestelling controleren door in te <a href=""%account_url"">loggen op je account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Wanneer je vragen hebt over je bestelling kun je ons e-mailen op <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Je creditfactuur #%creditmemo_id voor bestelling #%order_id"
"Billing Info","Factuuradres"
"Shipping Info","Verzendinformatie"
"Payment Method","Betaalmethode"
"Shipping Method","Bezorgmethode"
"Update to your %store_name credit memo","Update van je %store_name creditfactuur"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Je bestelling #%increment_id werd geupdate met volgende status <strong>%order_status</strong>."
"Invoice for your %store_name order","Factuur voor je %store_name bestelling"
"Your Invoice #%invoice_id for Order #%order_id","Je factuur #%invoice_id voor bestelling #%order_id"
"Update to your %store_name invoice","Update van je %store_name factuur"
"Your %store_name order confirmation","Je %store_name bestelbevestiging"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Zodra we je pakket verzenden, sturen wij je een Track- en Tracenummer."
"Your Order <span class=""no-link"">#%increment_id</span>","Je bestelling <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Geplaatst op <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Update van je %store_name bestelling"
"Your %store_name order has shipped","Je %store_name bestelling is verzonden"
"Your shipping confirmation is below. Thank you again for your business.","Hieronder kun je je verzendbevestiging vinden."
"Your Shipment #%shipment_id for Order #%order_id","Je verzending #%shipment_id voor bestelling #%order_id"
"Update to your %store_name shipment","Update van je %store_name verzending"
"Account Dashboard","Accountoverzicht"
"Address Book","Adresboek"
"Account Information","Account Gegevens"
"About Us","Over ons"
"Customer Service","Klantenservice"
"My Account","Account"
