"Now Shopping by","Sekarang Belanja oleh"
"Previous","Sebelumnya"
"Remove","Hapus"
"Remove This Item","Hapus item ini"
"Shop By","Toko oleh"
"Clear All","Bersihkan semua"
"Shopping Options","Pilihan Belanja"
"Welcome to %store_name","Selamat datang di %store_name"
"%name,","%nama,"
"Welcome to %store_name.","Selamat datang di %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Untuk masuk ke situs kami, gunakan kepercayaan ini selama checkout atau pada halaman <a href=""%customer_url"">Akun saya</a>:"
"Email:","E-mail:"
"Password:","Kata sandi:"
"Password you set when creating account","Password yang Anda tetapkan saat membuat akun"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Lupa kata sandi akun anda? Klik <a href=""%reset_url"">di sini</a> untuk mengatur ulangnya."
"When you sign in to your account, you will be able to:","Saat masuk ke akun, Anda dapat:"
"Quick Checkout","Checkout Cepat"
"Proceed through checkout faster","Lanjutkan melalui checkout lebih cepat"
"Order Status","Status pesanan"
"Check the status of orders","Periksa status pesanan"
"Manage Addresses","Kelola Alamat"
"Store alternative addresses","Simpan alamat alternatif"
"For shipping to multiple family members and friends","Untuk pengiriman ke beberapa anggota keluarga dan teman"
"Order History","Sejarah pesanan"
"View past orders","Lihat pesanan terakhir"
"Footer","Bagian Kaki"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Memo kredit untuk pesanan %store_name Anda"
"Thank you for your order from %store_name.","Terima kasih atas pesanan anda dari %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Anda dapat memeriksa status pesanan anda dengan <a href=""url_akun>masuk ke akun anda</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Jika ada pertanyaan tentang pesanan Anda, Anda dapat mengirim email kepada kami di <a href=""mailto: %s tore_email""> %store_email </a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Memo kredit anda #%creditmemo_id for Order #%order_id"
"Billing Info","Info Penagihan"
"Shipping Info","Shipping Info"
"Payment Method","Metode pembayaran"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Pembaruan atas memo kredit anda di %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Pesanan anda #%increment_id has been updated with a status of <strong>%status_pesanan</strong>."
"Invoice for your %store_name order","Faktur untuk pesanan Anda di %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Faktur anda #%invoice_id for Order #%order_id"
"Update to your %store_name invoice","Pembaruan atas Faktur Anda di %store_name"
"Your %store_name order confirmation","Konfirmasi pesanane anda di %store_name"
"%customer_name,","%nama_pelanggan"
"Once your package ships we will send you a tracking number.","Setelah paket anda dikirimkan kami akan mengirim nomor pelacakan kepada anda."
"Your Order <span class=""no-link"">#%increment_id</span>","Pesanan Anda<span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Ditempatkan di <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Pembaruan atas pesanan anda di %store_name"
"Your %store_name order has shipped","Pesanan Anda dari %store_name telah dikirimkan"
"Your shipping confirmation is below. Thank you again for your business.","Konfirmasi pengiriman anda dibawah. Terima kasih lagi untuk bisnis anda."
"Your Shipment #%shipment_id for Order #%order_id","Pengiriman anda #%shipment_id untuk pesanan #%order_id"
"Update to your %store_name shipment","Pembaruan atas pengiriman anda dari %store_name"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
