"Now Shopping by","ಈಗ ಇದರಂತೆ ಖರೀದಿಸಿ"
"Previous","ಹಿಂದಿನ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Remove This Item","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Shop By","ಇದರಂತೆ ಖರೀದಿಸಿ"
"Clear All","ಎಲ್ಲವನ್ನೂ ತೆರವುಗೊಳಿಸಿ"
"Shopping Options","ಶಾಪಿಂಗ್ ಆಯ್ಕೆಗಳು"
"Welcome to %store_name","%store_name ಗೆ ಸುಸ್ವಾಗತ"
"%name,","%name,"
"Welcome to %store_name.","%store_name ಗೆ ಸುಸ್ವಾಗತ."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","ನಮ್ಮ ಜಾಲತಾಣಕ್ಕೆ ಸೈನ್ ಇನ್ ಆಗಲು, ಚೆಕೌಟ್ ಆಗುವಾಗ ಅಥವಾ <a href=""%customer_url"">ನನ್ನ ಖಾತೆ</a> ಪುಟದಲ್ಲಿ ಈ ಕ್ರೆಡೆಂಶಿಯಲ್ ಗಳನ್ನು ಬಳಸಿ:"
"Email:","ಮಿಂಚೆ:"
"Password:","ಗುಪ್ತಪದ:"
"Password you set when creating account","ನೀವು ಖಾತೆಯನ್ನು ರಚಿಸಿದಾಗ ನಮೂದಿಸಿದ ಗುಪ್ತಪದ"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","ನಿಮ್ಮ ಖಾತೆಯ ಗುಪ್ತಪದವನ್ನು ಮರೆತಿರುವಿರಾ? ಅದನ್ನು ಮರುನಮೂದಿಸುವುದಕ್ಕಾಗಿ <a href=""%reset_url"">ಇಲ್ಲಿ</a> ಕ್ಲಿಕ್ ಮಾಡಿ."
"When you sign in to your account, you will be able to:","ನೀವು ನಿಮ್ಮ ಖಾತೆಗೆ ಪ್ರವೇಶಿಸಿದಾಗ, ನಿಮಗೆ ಇದೆಲ್ಲವೂ ಸಾಧ್ಯ:"
"Quick Checkout","ಕ್ಷಿಪ್ರ ಚೆಕೌಟ್"
"Proceed through checkout faster","ಕ್ಷಿಪ್ರ ಚೆಕೌಟ್ ಮೂಲಕ ಮುಂದುವರೆಯಿರಿ"
"Order Status","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Check the status of orders","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಿ"
"Manage Addresses","ವಿಳಾಸಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Store alternative addresses","ಮಳಿಗೆಯ ಪರ್ಯಾಯ ವಿಳಾಸಗಳು"
"For shipping to multiple family members and friends","ಕುಟುಂಬದ ಹಲವು ಸದಸ್ಯರಿಗೆ ಮತ್ತು ಗೆಳೆಯರಿಗೆ ರವಾನಿಸುವುದಕ್ಕಾಗಿ"
"Order History","ವ್ಯಾಪಾರಾದೇಶದ ಚರಿತ್ರೆ"
"View past orders","ಹಿಂದಿನ ವ್ಯಾಪಾರಾದೇಶಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Footer","ಅಡಿಬರಹ"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","ನಿಮ್ಮ %store_name ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ ಕ್ರೆಡಿಟ್ ಮೆಮೋ"
"Thank you for your order from %store_name.","%store_name ನಿಂದ ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","ನೀವು ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಥಿತಿಯನ್ನು <a href=""%account_url"">ನಿಮ್ಮ ಖಾತೆಗೆ ಲಾಗಿನ್</a> ಆಗುವ ಮೂಲಕ ಪರಿಶೀಲಿಸಬಹುದು."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","ನಿಮಗೆ ವ್ಯಾಪಾರಾದೇಶದ ಬಗ್ಗೆ ಏನಾದರೂ ಪ್ರಶ್ನೆಗಳಿದ್ದಲ್ಲಿ, ನೀವು ನಮಗೆ ಮಿಂಚೆಯನ್ನು ಇಲ್ಲಿಗೆ <a href=""mailto:%store_email"">%store_email</a> ಕಳುಹಿಸಬಹುದು."
"Your Credit Memo #%creditmemo_id for Order #%order_id","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶ #%order_id ಕ್ಕೆ ಕ್ರೆಡಿಟ್ ಮೆಮೋ #%creditmemo_id"
"Billing Info","ಬಿಲ್ಲಿಂಗ್ ಮಾಹಿತಿ"
"Shipping Info","Shipping Info"
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","ನಿಮ್ಮ%store_name ಕ್ರೆಡಿಟ್ ಮೆಮೋ ಗೆ ಪರಿಷ್ಕರಣೆ"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶ #%increment_id ವು <strong>%order_status</strong> ಸ್ಥಿತಿಯೊಂದಿಗೆ ಪರಿಷ್ಕರಣೆಗೊಂಡಿದೆ."
"Invoice for your %store_name order","ನಿಮ್ಮ %store_name ವ್ಯಾಪಾರಾದೇಶದ ಬೆಲೆಪಟ್ಟಿ"
"Your Invoice #%invoice_id for Order #%order_id","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶ #%order_id ಕ್ಕಾಗಿ ಬೆಲೆಪಟ್ಟಿ #%invoice_id"
"Update to your %store_name invoice","ನಿಮ್ಮ %store_name invoice ಗೆ ಪರಿಷ್ಕರಣೆ"
"Your %store_name order confirmation","ನಿಮ್ಮ %store_name ವ್ಯಾಪಾರಾದೇಶದ ದೃಢೀಕರಣ"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","ನಿಮ್ಮ ಪ್ಯಾಕೇಜ್ ರವಾನೆಯಾದ ತಕ್ಷಣ ನಾವು ನಿಮಗೆ ಟ್ರ್ಯಾಕಿಂಗ್ ಸಂಖ್ಯೆಯನ್ನು ಕಳುಹಿಸುತ್ತೇವೆ."
"Your Order <span class=""no-link"">#%increment_id</span>","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶ <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","<span class=""no-link"">%created_at</span> ರಂದು ಖರೀದಿಸಲಾಗಿದೆ"
"Update to your %store_name order","ನಿಮ್ಮ %store_name ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ ಪರಿಷ್ಕರಣೆ"
"Your %store_name order has shipped","ನಿಮ್ಮ %store_name ವ್ಯಾಪಾರಾದೇಶವನ್ನು ರವಾನಿಸಲಾಗಿದೆ"
