"Now Shopping by","מסנן לפי"
"Previous","הקודם"
"Remove","הסר"
"Remove This Item","הסרת פריט זה"
"Shop By","סנן לפי"
"Clear All","נקה הכל"
"Shopping Options","אפשרויות סינון"
"Welcome to %store_name","ברוכים הבאים ל-%store_name"
"%name,","%name,"
"Welcome to %store_name.","ברוכים הבאים ל-%store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","כדי להיכנס לאתר שלנו, השתמש בפרטי חיבור אלה במהלך הרכישה או בדף <a href=""%customer_url""> החשבון שלי</a>:"
"Email:","דואר אלקטרוני:"
"Password:","סיסמה:"
"Password you set when creating account","הסיסמה שהגדרת בעת יצירת החשבון"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","שכחת את הסיסמה לחשבון? לחצ/י <a href=""%reset_url"">כאן</a> כדי לאפס אותה."
"When you sign in to your account, you will be able to:","באמצעות התחברות לחשבונך, יתאפשר לך:"
"Quick Checkout","צ'ק אאוט מהיר"
"Proceed through checkout faster","המשך לקופה מהר יותר"
"Order Status","סטטוס הזמנה"
"Check the status of orders","בדוק את מצב הזמנות"
"Manage Addresses","נהל כתובות"
"Store alternative addresses","שמור כתובות חלופיות"
"For shipping to multiple family members and friends","עבור שילוח למספר חברים או בני משפחה"
"Order History","היסטורית הזמנות"
"View past orders","הצג הזמנות קודמות"
"Footer","כותרת תחתונה"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","הזיכוי עבור ההזמנה %store_name"
"Thank you for your order from %store_name.","תודה על הזמנתך מ- %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","באפשרותך לבדוק את מצב ההזמנה שלך באמצעות <a href=""%account_url""> התחברות לחשבון שלך</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","אם יש לך שאלות לגבי ההזמנות שלך, אתה יכול שלח לנו דוא ל- <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","תזכיר האשראי שלך #%creditmemo_id עבור הזמנה #%order_id"
"Billing Info","פרטי חיוב"
"Shipping Info","Shipping Info"
"Payment Method","שיטת התשלום"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","לעדכן את הזיכוי עבור %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","הזמנתך %increment_id # עודכנה לסטטוס <strong>%order_status</strong>."
"Invoice for your %store_name order","החשבונית עבור ההזמנה %store_name"
"Your Invoice #%invoice_id for Order #%order_id","חשבוניתך %invoice_id # עבור הזמנה #%order_id"
"Update to your %store_name invoice","לעדכן את החשבונית %store_name"
"Your %store_name order confirmation","אישור ההזמנה שלך %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","ברגע שהחבילה שלך תשלח תקבל מספר מעקב."
"Your Order <span class=""no-link"">#%increment_id</span>","הזמנתך <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","נוצרה ב <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","לעדכן את ההזמנה %store_name שלך"
"Your %store_name order has shipped","%store_name ההזמנה שלך נשלחה"
"Your shipping confirmation is below. Thank you again for your business.","להלן אישור המשלוח שלך. תודה על רכישתך."
"Your Shipment #%shipment_id for Order #%order_id","המשלוח שלך %shipment_id # עבור הזמנה #%order_id"
"Update to your %store_name shipment","עדכן את %store_name לשילוח"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
