"Now Shopping by","Aktív szűrőfeltételek"
"Previous","Előző"
"Remove","Eltávolítás"
"Remove This Item","Termék eltávolítása"
"Shop By","Szűrés"
"Clear All","Összes törlése"
"Shopping Options","Vásárlási beállítások"
"Welcome to %store_name","Üdvözlet a %store_name webáruházban"
"%name,","%name,"
"Welcome to %store_name.","Üdvözlet a %store_name webáruházban."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","A bejelentkezéshez használja ezeket az adatokat fizetés közben vagy a <a href=""%customer_url"">Saját fiók</a> oldalon:"
"Email:","E-mail:"
"Password:","Jelszó:"
"Password you set when creating account","Jelszó beállítva a felhasználói fiók létrehozásakor"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Elfelejtette a jelszavát? <a href=""%reset_url"">Kattintson ide</a> a visszaállításhoz."
"When you sign in to your account, you will be able to:","Ha bejelentkezel a felhasználói fiókodba, képes leszel:"
"Quick Checkout","Gyors fizetés"
"Proceed through checkout faster","Gyorsabb vásárlásra"
"Order Status","Megrendelés állapota"
"Check the status of orders","Rendelések állapotának ellenőrzésére"
"Manage Addresses","Címek kezelése"
"Store alternative addresses","Alternatív címek tárolása"
"For shipping to multiple family members and friends","Szállítás több családtagnak és barátnak"
"Order History","Korábbi rendelések"
"View past orders","Korábbi rendelések megtekintésére"
"Footer","Lábléc"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Rólunk</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Vevőszolgálat</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Nyitvatartás:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Jóváírás a %store_name megrendeléshez"
"Thank you for your order from %store_name.","Köszönjük a %store_name webáruházban leadott megrendelést."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","A rendelés állapotát ellenőrizheted, ha <a href=""%account_url"">bejelentkezel a felhasználói fiókodba</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ha kérdésed van a rendeléseddel kapcsolatban, <a href=""mailto:%store_email"">%store_email</a> címre írj nekünk."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Az ön jóváírása #%creditmemo_id a(z) #%order_id számú megrendeléshez"
"Billing Info","Számlázási információk"
"Shipping Info","Szállítási információ"
"Payment Method","Fizetési mód"
"Shipping Method","Szállítási mód"
"Update to your %store_name credit memo","Frissítés a %store_name jóváíráshoz"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","A(z) #%increment_id számú megrendelés státusza frissült: <strong>%order_status</strong>."
"Invoice for your %store_name order","A(z) %store_name rendelés számlája"
"Your Invoice #%invoice_id for Order #%order_id","A(z) #%order_id számú rendelés #%invoice_id azonosítójú számlája"
"Update to your %store_name invoice","Az Ön %store_name számla frissítése"
"Your %store_name order confirmation","Az Ön %store_name rendelés-visszaigazolása"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Ha a csomag szállításra kész, elküldjük a nyomkövetési kódot."
"Your Order <span class=""no-link"">#%increment_id</span>","A z Ön rendelése <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Rendelés ideje: <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","%store_name megrendeléssel kapcsolatos válzozások"
"Your %store_name order has shipped","A %store_name megrendelése szállításra került"
"Your shipping confirmation is below. Thank you again for your business.","A szállítási információ megerősítve. Köszönjük rendelését."
"Your Shipment #%shipment_id for Order #%order_id","A #%order_id megrendelés #%shipment_id azonosítójú szállítása"
"Update to your %store_name shipment","Változás a %store_name megrendeléssel kapcsolatban"
"Account Dashboard","Felhasználói fiók irányítópult"
"Address Book","Címjegyzék"
"Account Information","Fiókadatok"
"About Us","Rólunk"
"Customer Service","Ügyfélszolgálat"
"My Account","Fiókom"
