"Now Shopping by","Comprar por"
"Previous","Anterior"
"Remove","Remover"
"Remove This Item","Remover este Item"
"Shop By","Filtrar por"
"Clear All","Limpar Tudo"
"Shopping Options","Opções de Compra"
"Welcome to %store_name","Bem-vindo a %store_name"
"%name,","%name,"
"Welcome to %store_name.","Bem-vindo a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para efetuar login em nosso site, use suas credenciais durante pagamento ou na página <a href=""%customer_url"">Minha Conta</a>:"
"Email:","E-mail:"
"Password:","Senha:"
"Password you set when creating account","Senha que você definiu ao criar a conta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu sua senha? Clique <a href=""%reset_url""> aqui</a> para redefinir."
"When you sign in to your account, you will be able to:","Ao fazer login na sua conta, você poderá:"
"Quick Checkout","Compra Rápida"
"Proceed through checkout faster","Continuar com checkout rápido"
"Order Status","Situação do pedido"
"Check the status of orders","Verificar o status dos seus pedidos"
"Manage Addresses","Gerenciar endereços"
"Store alternative addresses","Endereços alternativos da loja"
"For shipping to multiple family members and friends","Para enviar para vários familiares e amigos"
"Order History","Histórico de pedidos"
"View past orders","Ver os pedidos que você já realizou"
"Footer","Rodapé"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Nota de crédito para o seu pedido %store_name"
"Thank you for your order from %store_name.","Obrigado pelo seu pedido na loja %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Você pode verificar o status do seu pedido ao <a href=""%account_url""> logar em sua conta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Se você tem perguntas sobre seu pedido, você pode nos enviar em <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","A sua Nota de Crédito #%creditmemo_id para o Pedido #%order_id"
"Billing Info","Informações de cobrança"
"Shipping Info","Shipping Info"
"Payment Method","Forma de pagamento"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Atualização para sua nota de crédito de %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Seu pedido #%increment_id foi atualizado com um status de <strong>%order_status</strong>."
"Invoice for your %store_name order","Fatura para o seu pedido de %store_name"
"Your Invoice #%invoice_id for Order #%order_id","A sua Fatura #%invoice_id para o Pedido #%order_id"
"Update to your %store_name invoice","Atualização para a sua fatura de %store_name"
"Your %store_name order confirmation","Confirmação do seu pedido de %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Assim que a sua encomenda for enviada você irá receber um código para que possa acompanhar seu pedido."
"Your Order <span class=""no-link"">#%increment_id</span>","O seu pedido <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Efetuada em <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Atualização do seu pedido de %store_name"
"Your %store_name order has shipped","Seu pedido de %store_name foi enviado"
"Your shipping confirmation is below. Thank you again for your business.","A confirmação de envio encontra-se a seguir. Agradecemos novamente a sua compra."
"Your Shipment #%shipment_id for Order #%order_id","Sua entrega #%shipment_id para o pedido #%order_id"
"Update to your %store_name shipment","Atualização da sua entrega de %store_name"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
