"Now Shopping by","Hoziroq xarid qilish"
"Previous","Avvalgi"
"Remove","O'chirish"
"Remove This Item","Ushbu narsani o'chirish"
"Shop By","Onlayn do'kon"
"Clear All","Hammasini tozalash"
"Shopping Options","Xarid qilish imkoniyatlari"
"Welcome to %store_name","%store_name ga xush kelibsiz"
"%name,","%name,"
"Welcome to %store_name.","%store_name ga xush kelibsiz."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Saytimizga kirish uchun to'lov vaqtida yoki <a href=""%customer_url"">Hisobim</a> sahifasida ushbu hisob qaydnomalaridan foydalaning:"
"Email:","Email:"
"Password:","Parol:"
"Password you set when creating account","Hisobni yaratishda siz o'rnatgan parol"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Hisob parolini unutdingizmi? Uni tiklash uchun <a href=""%reset_url""> bu yerda </a> bosing."
"When you sign in to your account, you will be able to:","Hisobingizga kirganingizda quyidagilarni amalga oshirasiz:"
"Quick Checkout","Tez to'lov"
"Proceed through checkout faster","Tezlashtirilgan tekshirishni amalga oshirish"
"Order Status","Buyurtma holati"
"Check the status of orders","Buyurtma holatini tekshiring"
"Manage Addresses","Manzillarni boshqarish"
"Store alternative addresses","Do'konning muqobil manzili"
"For shipping to multiple family members and friends","Ko'p oila a'zolariga va do'stlariga jo'natish uchun"
"Order History","Buyurtma tarixi"
"View past orders","Avvalgi buyurtmalarni ko'rish"
"Footer","Pastki qism"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Buyurtmaning %store_name uchun kredit eslatmasi"
"Thank you for your order from %store_name.","Buyurtma uchun rahmat hurmat bilan %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Siz <a href=""%account_url"">Foydalanuvchi paneli</a>ga kirib, buyurtmangizning holatini tekshirishingiz mumkin."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Agar buyurtma bo'yicha savollaringiz bo'lsa, bizni elektron pochtamizga yuboring <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Kredit eslatmasi #%creditmemo_id Buyurtma uchun #%order_id"
"Billing Info","To'lov ma'lumoti"
"Shipping Info","Shipping Info"
"Payment Method","To'lov uslubi"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","%store_name kredit eslatmasini yangilang"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Buyurtmaning #%increment_id holati <strong>%order_status</strong> bilan yangilandi."
"Invoice for your %store_name order","%store_name buyurtmangiz uchun hisob"
"Your Invoice #%invoice_id for Order #%order_id","Sizning hisob-fakturangiz #%invoice_id buyurtma uchun #%order_id"
"Update to your %store_name invoice","%store_name hisobini yangilang"
"Your %store_name order confirmation","Buyurtmani tasdiqlash %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Sizning paketingiz yuborilgandan so'ng, biz sizga kuzatuv raqami yuboramiz."
"Your Order <span class=""no-link"">#%increment_id</span>","Sening buyurtmangiz <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Joylashgan <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Buyurtmani yangilang %store_name"
"Your %store_name order has shipped","%store_name buyurtmangiz yuborildi"
"Your shipping confirmation is below. Thank you again for your business.","Yuklash tafsilotlari quyida keltirilgan. Sotib olganingiz uchun tashakkur."
"Your Shipment #%shipment_id for Order #%order_id","Buyurtmangiz #%shipment_id uchun #%order_id"
"Update to your %store_name shipment","Buyurtmani %store_name yangilang"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
