"Now Shopping by","Sélection actuelle"
"Previous","Précédent"
"Remove","Supprimer"
"Remove This Item","Retirer cet élément"
"Shop By","Filtrer par"
"Clear All","Tout supprimer"
"Shopping Options","Affiner la recherche"
"Welcome to %store_name","Bienvenue sur %store_name"
"%name,","%name,"
"Welcome to %store_name.","Bienvenue sur %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pour vous connecter à notre site, utiliser ces informations d'identification lors de votre commande ou sur la page <a href=""%customer_url""> Mon compte</a> :"
"Email:","Email :"
"Password:","Mot de passe :"
"Password you set when creating account","Mot de passe défini lors de la création de compte"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Mot de passe oublié ? Cliquez <a href=""%reset_url""> ici</a> pour le réinitialiser."
"When you sign in to your account, you will be able to:","Lorsque vous vous connecterez à votre compte, vous serez en mesure de :"
"Quick Checkout","Commande rapide"
"Proceed through checkout faster","Effectuer votre commande plus rapidement"
"Order Status","Statuts de commande"
"Check the status of orders","Suivre le statut de vos commandes"
"Manage Addresses","Gérer les adresses"
"Store alternative addresses","Mémoriser plusieurs adresses"
"For shipping to multiple family members and friends","Pour l'expédition à plusieurs destinataires"
"Order History","Historique des commandes"
"View past orders","Voir votre historique de commandes"
"Footer","Pied de page"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>A propos de nous</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Service client</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Heures d'ouverture : <br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Avoir pour votre commande sur %store_name"
"Thank you for your order from %store_name.","Merci pour votre commande chez %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Vous pouvez vérifier l'état de votre commande en <a href=""%account_url""> vous connectant à votre compte</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Si vous avez des questions concernant votre commande, vous pouvez nous envoyer un email à <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Votre avoir #%creditmemo_id pour la commande #%order_id"
"Billing Info","Informations de facturation"
"Shipping Info","Informations d'expédition"
"Payment Method","Mode de paiement"
"Shipping Method","Mode de livraison"
"Update to your %store_name credit memo","Mise à jour de votre avoir sur %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Votre commande #%increment_id a été mise à jour avec le statut <strong>%order_status</strong>."
"Invoice for your %store_name order","Facture pour votre commande sur %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Votre facture #%invoice_id pour la commande #%order_id"
"Update to your %store_name invoice","Mise à jour de votre facture sur %store_name"
"Your %store_name order confirmation","Confirmation de votre commande sur %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Dès que votre colis sera expédié, nous vous enverrons un numéro de suivi."
"Your Order <span class=""no-link"">#%increment_id</span>","Votre commande <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Effectuée le <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Mise à jour de votre commande sur %store_name"
"Your %store_name order has shipped","Votre commande sur %store_name a été expédiée"
"Your shipping confirmation is below. Thank you again for your business.","La confirmation de votre expédition se trouve ci-dessous. Merci encore pour votre commande."
"Your Shipment #%shipment_id for Order #%order_id","Votre expédition #%shipment_id pour la commande #%order_id"
"Update to your %store_name shipment","Mise à jour de votre expédition sur %store_name"
"Account Dashboard","Tableau de bord du compte"
"Address Book","Carnet d'adresses"
"Account Information","Informations du compte"
"About Us","Qui sommes-nous "
"Customer Service","Service Client"
"My Account","Mon compte"
