"Now Shopping by","Atlasīts pēc"
"Previous","Iepriekšējais"
"Remove","Dzēst"
"Remove This Item","Nodzēst šo vienību"
"Shop By","Iepirkties pēc"
"Clear All","Notīrīt visu"
"Shopping Options","Iepirkšanās opcijas"
"Welcome to %store_name","Laipni lūgti %store_name"
"%name,","%name,"
"Welcome to %store_name.","Laipni lūgti %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Lai pieslēgtos sistēmai, lietojiet šos datus iepērkoties <a href=""%customer_url"">Mans konts</a> sadaļā:"
"Email:","E-pasts:"
"Password:","Parole:"
"Password you set when creating account","Parole, ko ievadījāt izveidojot kontu"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Aizmirsāt paroli? <a href=""%reset_url"">Atjaunot paroli</a>."
"When you sign in to your account, you will be able to:","Pieslēdzoties kontam Jūs varēsiet:"
"Quick Checkout","Ātrā iepirkšanās"
"Proceed through checkout faster","Ātrāk noformēt pasūtījumu"
"Order Status","Pasūtījuma statuss"
"Check the status of orders","Pārbaudīt pasūtījumu statusu"
"Manage Addresses","Pārvaldīt adreses"
"Store alternative addresses","Saglabāt vairākas piegādes/maksātāja adreses"
"For shipping to multiple family members and friends","Piegādei vairākiem saņēmējiem"
"Order History","Pasūtījumu vēsture"
"View past orders","Apskatīt iepriekšējos pasūtījumus"
"Footer","Kājene"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Jūsu pasūtījuma kredītrēķins no %store_name"
"Thank you for your order from %store_name.","Paldies par pirkumu %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Jūs varat pārbaudīt savu pasūtījumu statusu <a href=""%account_url"">pieslēdzoties kontam</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ja Jums ir jautājumi par pasūtījumu, sazinaties ar mums sūtot e-pastu uz <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Kredītrēķins #%creditmemo_id pasūtījumam #%order_id"
"Billing Info","Norēķinu informācija"
"Shipping Info","Shipping Info"
"Payment Method","Apmaksas veids"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Kredītrēķina atjauninājumi no %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Pasūtījuma #%increment_id statuss tika atjaunots uz <strong>%order_status</strong>."
"Invoice for your %store_name order","Jūsu pasūtījuma rēķins no %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Rēķins #%invoice_id pasūtījumam #%order_id"
"Update to your %store_name invoice","Rēķina atjauninājumi no %store_name"
"Your %store_name order confirmation","Jūsu pasūtījuma apsiprinājums no %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Jums tiks izsūtīts sekošanas numurs, kad prece tiks izsūtīta."
"Your Order <span class=""no-link"">#%increment_id</span>","Pasūtījums <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Pasūtīts <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Pasūtījuma atjauninājumi no %store_name"
"Your %store_name order has shipped","Jūsu pasūtījums no %store_name ir izsūtīts"
"Your shipping confirmation is below. Thank you again for your business.","Piegādes informācija. Paldies par pirkumu."
"Your Shipment #%shipment_id for Order #%order_id","Piegāde #%shipment_id pasūtījumam #%order_id"
"Update to your %store_name shipment","Piegādes atjauninājumi no %store_name"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
