"Now Shopping by","Ostlemise moodus"
"Previous","Eelmine"
"Remove","Eemalda"
"Remove This Item","Eemalda toode"
"Shop By","Vali"
"Clear All","Tühjenda kõik"
"Shopping Options","Ostlemise Valikud"
"Welcome to %store_name","Tere tulemast poodi %store_name"
"%name,","%name,"
"Welcome to %store_name.","Tere tulemast poodi %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Meie poodi sisselogimiseks kasutage neid tunnuseid. Sama saate teha ka tellimuse vormistamisel ja/või <a href=""%customer_url""> Minu konto </a> lehel:"
"Email:","E-post:"
"Password:","Salasõna:"
"Password you set when creating account","Konto loomisel määratud parool"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Unustasid oma salasõna? Klõpsake <a href=""%reset_url""> siin </a>, et seda uuendada."
"When you sign in to your account, you will be able to:","Peale sisse logimist on teile võimalik teha järgnevaid toiminguid:"
"Quick Checkout","Kiire ostuprotsess"
"Proceed through checkout faster","Kulge läbi ostuprotsessi kiiremini"
"Order Status","Tellimuse staatus"
"Check the status of orders","Jälgida oma tellimuste staatuseid"
"Manage Addresses","Halda aadresse"
"Store alternative addresses","Poe alternatiivsed aadressid"
"For shipping to multiple family members and friends","Tarnimine mitmele pereliikmele või sõbrale"
"Order History","Tellimuste ajalugu"
"View past orders","Vaadata vanu tellimusi"
"Footer","Jalus"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Teie kreeditarve %store_name poest"
"Thank you for your order from %store_name.","Suur tänu teie tellimuse eest %store_name poest."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Saate oma tellimuse staatust jälgida kui <a href=""%account_url"">logite oma kontole sisse</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Kui teil on küsimusi oma tellimuse kohta, siis saatke meile e-mail aadressil <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Teie krediidi info #%creditmemo_id tellimusele #%order_id"
"Billing Info","Arveldamise info"
"Shipping Info","Shipping Info"
"Payment Method","Makseviis"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Uuendus teie %store_name krediidi infole"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Teie tellimusel #%increment_id on muudetud staatust <strong>%order_status</strong>."
"Invoice for your %store_name order","%store_name arve"
"Your Invoice #%invoice_id for Order #%order_id","Teie arve nr%invoice_id tellimusele nr%order_id"
"Update to your %store_name invoice","Uuendus %store_name arvele"
"Your %store_name order confirmation","%store_name tellimuse kinnitus"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Saadame Teile jälgmisnumbri niipea kui oleme paki teele pannud."
"Your Order <span class=""no-link"">#%increment_id</span>","Teie tellimus <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Tellimus tehtud <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Uuendage oma %store_name tellimust"
"Your %store_name order has shipped","Teie %store_name tellimus on teele pandud"
"Your shipping confirmation is below. Thank you again for your business.","Täname teid tellimuse eest. Alltoodult on teie tarneinfo."
"Your Shipment #%shipment_id for Order #%order_id","Teie saadetise #%shipment_id tellimusele #%order_id"
"Update to your %store_name shipment","Uuendatud info teie %store_name tellimusele"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
