"Now Shopping by","Aktivní filtr pro"
"Previous","Předchozí"
"Remove","Odstranit"
"Remove This Item","Odstranit tuto položku"
"Shop By","Navigace"
"Clear All","Odebrat vše"
"Shopping Options","Filtr parametrů"
"Welcome to %store_name","Vítejte v %store_name"
"%name,","%name,"
"Welcome to %store_name.","Vítejte v %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Tyto přihlašovací údaje použijte k přihlášení na naše stránky v průběhu dokončení objednávky nebo na stránce <a href=""%customer_url"">Můj účet</a>:"
"Email:","E-mail:"
"Password:","Heslo:"
"Password you set when creating account","Heslo, které jste zadali při registraci"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zapoměli jste své heslo? Kliknutím <a href=""%reset_url"">zde</a> jej obnovíte."
"When you sign in to your account, you will be able to:","Po přihlášení k vašemu účtu můžete provádět následující:"
"Quick Checkout","Rychlá pokladna"
"Proceed through checkout faster","Rychlejší proces dokončení objednávky"
"Order Status","Stav objednávky"
"Check the status of orders","Zkontrolovat stav objednávek"
"Manage Addresses","Správa adres"
"Store alternative addresses","Můžete si uložit více adres"
"For shipping to multiple family members and friends","Pro zasílání členům rodiny či přátelům"
"Order History","Historie objednávky"
"View past orders","Zobrazit předchozí objednávky"
"Footer","Zápatí"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>O nás</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Centrum zákaznické péče</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Provozní doba:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Dobropis k vaší %store_name objednávce"
"Thank you for your order from %store_name.","Děkujeme Vám za objednávku z %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Stav objednávky můžete zkontrolovat <a href=""%account_url"">po přihlášení do svého účtu</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Pokud máte k vaší objednávce jakýkoli dotaz, můžete nám napsat na <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Dobropis č. %creditmemo_id k objednávce č. %order_id"
"Billing Info","Fakturační údaje"
"Shipping Info","Doručovací údaje"
"Payment Method","Způsob platby"
"Shipping Method","Způsob dopravy"
"Update to your %store_name credit memo","Aktualizujte na váš dobropis %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Stav vaší objednávky č. %increment_id byl změněn na <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktura za Vaši %store_name objednávku"
"Your Invoice #%invoice_id for Order #%order_id","Faktura č. %invoice_id k objednávce č. %order_id"
"Update to your %store_name invoice","Aktualizujte na Vaši %store_name fakturu"
"Your %store_name order confirmation","Potvrzení Vaší objednávky %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Jakmile bude vaše zásilka odeslána, zašleme Vám sledovací číslo balíku."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaše objednávka <span class=""no-link"">č. %increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Pořízená v <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Aktualizovat na Vaši %store_name objednávku"
"Your %store_name order has shipped","Vaše objednávka %store_name byla odeslána"
"Your shipping confirmation is below. Thank you again for your business.","Potvrzení odeslání zásilky je níže. Ještě jednou Vám děkujeme za nákup."
"Your Shipment #%shipment_id for Order #%order_id","Zásilka č. %shipment_id k objednávce č. %order_id"
"Update to your %store_name shipment","Aktualizovat na Vaši %store_name zásilku"
"Account Dashboard","Ovládací panel účtu"
"Address Book","Adresář"
"Account Information","Informace o účtu"
"About Us","O nás"
"Customer Service","Zákaznická péče"
"My Account","Můj účet"
