"Now Shopping by","Aktive filtre"
"Previous","Tilbage"
"Remove","Fjern"
"Remove This Item","Fjern dette produkt"
"Shop By","Filtrer"
"Clear All","Fjern alle"
"Shopping Options","Filtrer efter"
"Welcome to %store_name","Velkommen til %store_name"
"%name,","%name,"
"Welcome to %store_name.","Velkommen til %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","For at logge på vores webshop, skal du bruge disse oplysninger i checkout forløbet eller på <a href=""%customer_url"">login siden</a>:"
"Email:","E-mail:"
"Password:","Adgangskode:"
"Password you set when creating account","Adgangskode du angav da du oprettede kontoen"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Har du glemt din adgangskode? Klik <a href=""%reset_url""> her</a> til at nulstille den."
"When you sign in to your account, you will be able to:","Når du logger på din konto vil du være i stand til at:"
"Quick Checkout","Hurtig Checkout"
"Proceed through checkout faster","Kom gennem betalingsprocessen hurtigere"
"Order Status","Ordrestatus"
"Check the status of orders","Kontrollere status for ordrer"
"Manage Addresses","Administrer adresser"
"Store alternative addresses","Gem alternative adresser"
"For shipping to multiple family members and friends","For forsendelse til flere familiemedlemmer og venner"
"Order History","Ordreoversigten"
"View past orders","Se tidligere ordrer"
"Footer","Sidefod"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Om os</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Kundeservice</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Åbningstider: <br /> <span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Kreditnota til din %store_name bestilling"
"Thank you for your order from %store_name.","Tak for din ordre fra %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Du kan se status for din ordre ved at <a href=""%account_url""> logge ind på din konto</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Hvis du har spørgsmål til ordren, kan du kontakte os på <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Din kredit Memo #%creditmemo_id for ordre #%order_id"
"Billing Info","Kundeinformation"
"Shipping Info","Forsendelsesinformation"
"Payment Method","Betalingsmetode"
"Shipping Method","Forsendelsesmetode"
"Update to your %store_name credit memo","Opdaterer til din %store_name kreditnota"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Din ordre #%increment_id er blevet opdateret med en status for <strong>%order_status</strong>."
"Invoice for your %store_name order","Fakturaen for din %store_name ordre"
"Your Invoice #%invoice_id for Order #%order_id","Din faktura #%invoice_id for ordre #%order_id"
"Update to your %store_name invoice","Opdatering til din %store_name faktura"
"Your %store_name order confirmation","Ordrebekræftelsen %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Når din pakke afsendes, vil vi sende dig et trackingnummer."
"Your Order <span class=""no-link"">#%increment_id</span>","Din ordre <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placeret den <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Opdatering til din %store_name bestilling"
"Your %store_name order has shipped","Din %store_name bestilling er blevet afsendt"
"Your shipping confirmation is below. Thank you again for your business.","Din forsendelse bekræftelse er nedenfor. Endnu en gang tak for din ordre."
"Your Shipment #%shipment_id for Order #%order_id","Din forsendelse #%shipment_id for ordre #%order_id"
"Update to your %store_name shipment","Opdatering til din %store_name forsendelse"
"Account Dashboard","Betjeningspanel"
"Address Book","Adressebog"
"Account Information","Kontooplysninger"
"About Us","Om os"
"Customer Service","Kundeservice"
"My Account","Min konto"
